T cells	CD8 T cells	Cytotoxic lymphocytes	B lineage	NK cells	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts	ABLIM1	CSTB	MAL2	SLPI	FANCB	IFT57	KIF11	PPEF1
ec316	10.196938125	12.951548	8.294247	9.035302625	8.10974216	11.1632128	9.60347333333333	9.42064733333333	9.68628644583333	13.35508325	12.13349	14.422546	13.478752	13.481649	9.669456	8.454651	11.116908	4.2713437
ec317	9.9501853	8.684436	8.0093575	8.955473125	7.22879046	11.3472658333333	9.6360625	9.98949128888889	10.2084771875	14.0640645	13.07261	14.564186	14.440582	14.572986	9.887923	6.842681	12.303013	7.030689
ec318	9.710073375	9.47426	8.10967956666667	9.2484962125	7.75510048	11.136759	8.26758626666667	9.53446133333333	9.09548520416667	13.5014439375	11.854147	14.188174	13.239122	13.659114	9.967605	6.886714	11.896703	5.6285753
ec319	9.2181614	8.03722	7.34714783333333	7.8154358125	7.48646428	11.4361821666667	8.85679556666667	10.307498	9.71472056666667	13.4212318125	12.869585	15.622783	13.965006	14.946578	10.380058	7.1388364	11.985395	7.5134525
ec321	8.737900825	8.101844	7.52836606666667	7.4951387875	7.58308538	11.16641585	8.47649666666667	9.5497203	9.951417975	14.203130625	12.152865	14.7866125	14.018935	13.913175	10.035119	7.29421	11.974842	6.169001
ec322	10.08057375	10.603556	9.33961346666667	8.6131655625	8.0197838	11.3421641666667	8.21221786666667	8.92461468888889	9.32227955	13.3647705625	11.667331	14.0305	13.800437	13.113691	10.106798	6.3101735	12.1192255	4.1097116
ec324	9.5982585875	9.157363	10.1785156666667	7.9506024375	8.04924304	10.1910781666667	8.04482976666667	10.1918047222222	9.52584733333333	12.84240375	12.857065	15.50072	14.515057	15.211018	11.213925	7.7267227	12.442775	4.740504
ec333	9.534510575	11.762435	7.38815356666667	8.3358133875	7.22710926	10.026469	8.51528676666667	8.80636937777778	9.10915374166667	13.340467625	11.359858	13.338754	13.820657	9.354351	10.503143	7.6869154	11.963113	4.7114954
ec334	8.9417770625	9.483246	7.1643639	7.874035675	7.69679892	10.5087030333333	7.68306066666667	9.33958321111111	9.20036763333333	13.38531165	12.71375	14.529932	14.223043	13.692425	10.672272	7.226665	11.865963	3.9436111
ec337	9.793117125	11.180736	10.0418398	7.8721084375	7.7538881	10.2488045	8.8589492	8.56711883333333	8.86205350833333	12.8873654375	11.041292	14.206574	12.590814	13.510707	11.965103	7.6446266	13.216976	3.8863285
ec338	9.3546320625	8.990351	7.7205259	7.69586725	7.91014722	10.1512369166667	8.0993422	8.84776216666667	9.0462354125	13.070076625	12.8710575	14.109834	14.541075	12.924278	10.304438	6.010944	12.50811	4.9091964
ec340	9.867822325	9.091238	7.838636	9.111963875	7.9633236	10.411766	7.69370906666667	10.2855192555556	8.947307625	12.7200035	12.696699	15.445159	14.480991	14.166599	10.745249	6.430506	11.794006	4.488049
ec341	8.52742755	8.338874	7.52669333333333	7.49006555	8.5049826	10.4332836666667	9.52305973333333	8.70642676666667	8.9350657375	12.8276525	11.929329	14.90527	14.548747	11.55638	11.086198	5.8002853	11.137045	4.037227
ec342	8.9000613125	8.769303	7.98721116666667	8.962503375	7.94212778	10.2365872666667	8.79633486666667	10.1693323333333	9.55834858333333	13.7590025625	12.977174	15.038407	14.440582	14.13912	9.536694	7.2099023	11.678384	4.3725586
