,B.cells.naive,B.cells.memory,Plasma.cells,T.cells.CD8,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,NK.cells.resting,NK.cells.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.cells.resting,Dendritic.cells.activated,Mast.cells.resting,Mast.cells.activated,Eosinophils,Neutrophils,P.value,Correlation,RMSE,group
ec61,0.086611668,0,0.144128305,0.123528683,0,0.161311494,0.006211104,0,0.048618753,0,0,0.124609891,0.048924368,0.064722326,0.000743933,0.059348546,0,0.048360553,0,0.082880376,0,0,0.692,0.019852727,1.088235311,Low
ec77,0,0,0.113687133,0.028671949,0.072496995,0.198143,0,0,0,0,0.029714022,0.019885975,0.039290145,0.229322482,0.024560002,0.018393644,0,0.018003644,0,0.20783101,0,0,0.109,0.144199562,1.046113029,Low
ec79,0.144399396,0,0.028337189,0.100257045,0,0.034436292,0,0.071157037,0.094193845,0,0.015616993,0.04968124,0.129641623,0.10074087,0.009627626,0.132233372,0.009521244,0.066288565,0.013867663,0,0,0,0.724,0.013965603,1.08722716,Low
ec87,0.140945834,0,0.014387249,0.10643669,0,0.027843052,0,0.082216421,0.149723356,0.040408496,0,0.12901739,0,0.072735564,0.057970647,0.06241396,0.052253638,0.005730459,0.046937366,0,0,0.010979878,0.077,0.163439235,1.041439116,Low
ec91,0.008204722,0,0.035280021,0.376649017,0,0.014623716,0,0,0.095975753,0,0.00765328,0.066443908,0.071129537,0.174051642,0.019543091,0.048866571,0.040646997,0,0.040931744,0,0,0,0.492,0.048355237,1.107075256,Low
ec92,0.010784227,0.008231961,0.187812906,0.241794829,0,0.026399802,0,0.092005267,0.084021056,0,0,0.107894141,0.042133947,0.031547618,0.075368535,0.026170506,0.018990537,0,0.046844667,0,0,0,0.018,0.228305178,1.002095686,Low
ec4,0.082225195,0,0.05083913,0.185209727,0,0,0,0.119940129,9.45E-05,0,0,0.105492213,0.112136335,0.001814044,0.069068455,0,0,0.089269251,0,0.183911012,0,0,0.021,0.22473519,1.001017424,Low
ec7,0.087489099,0,0.007733158,0.009180528,0,0.119723941,0,0.11920888,0.135433512,0,0,0.225745774,0.094063142,0.081876104,0.045287172,0.013139427,0.014651954,0,0.04646731,0,0,0,0.092,0.152862295,1.057877552,Low
ec97,0.061253194,0,0.104254312,0.148553702,0,0.047676683,0,0.149987659,0.091774775,0.008495664,0,0.114904551,0.010633578,0.022836903,0.082945516,0.002695422,0.088115394,0.032228028,0.033644618,0,0,0,0.021,0.224568224,1.005644293,Low
ec101,0.115145931,0,0.060340139,0.290283996,0,0,0,0.05053631,0.12683391,0,0,0,0.02398157,0.182695423,0.018199524,0.014785191,0.045985679,0.003313042,0.067899287,0,0,0,0.349,0.072341751,1.071798477,Low
