,StromalScore,ImmuneScore,ESTIMATEScore,TumorPurity,group
ec311,282.6763458,334.041258,616.7176038,0.767724319,High
ec333,481.1809314,516.6533713,997.8343027,0.730694465,High
ec337,463.7452367,748.0411816,1211.786418,0.708896862,High
ec353,636.821089,773.2451919,1410.066281,0.688071284,High
ec362,134.8114351,61.97226945,196.7837045,0.805739834,High
ec365,1390.698243,1357.74473,2748.442973,0.533192342,High
ec366,95.84472659,563.9545922,659.7993187,0.763656767,High
ec367,882.265805,604.0925279,1486.358333,0.679901985,High
ec371,1040.410511,705.9264948,1746.337006,0.651429555,High
ec375,526.3984994,199.9351418,726.3336412,0.757314997,High
ec409,290.0995883,264.4960781,554.5956664,0.773535454,High
ec403,970.2699861,576.6977028,1546.967689,0.673351149,High
ec405,685.4009221,404.1050646,1089.505987,0.721441884,High
ec225,598.3603245,686.8285976,1285.188922,0.701256379,High
ec226,999.0145588,621.737391,1620.75195,0.665304449,High
ec253,313.5206309,843.2025614,1156.723192,0.714574431,High
ec256,22.71847706,804.813676,827.5321531,0.747530897,High
ec258,395.7699447,831.8959308,1227.665875,0.707250912,High
ec259,588.3834716,548.8065175,1137.189989,0.716577301,High
ec260,1332.442784,1294.984429,2627.427213,0.548135423,High
ec261,285.7941441,372.1200718,657.9142159,0.763835389,High
ec262,563.8539436,1053.766397,1617.620341,0.665647566,High
ec264,697.0677132,955.6794881,1652.747201,0.661790824,High
ec266,633.5292379,551.3832813,1184.912519,0.711673638,High
ec269,652.6425685,955.2811127,1607.923681,0.666709094,High
ec275,274.5821388,551.0431863,825.6253251,0.747716785,High
ec277,753.7489055,1078.391339,1832.140244,0.641822259,High
ec280,975.5264765,1206.245773,2181.772249,0.601638066,High
ec287,-151.5236456,-317.2082113,-468.7318569,0.859664986,High
ec288,382.0424521,1253.89809,1635.940542,0.663638307,High
ec30,219.3042812,749.5279819,968.8322631,0.73359422,High
ec68,352.9404775,240.6891769,593.6296544,0.769891538,High
ec80,30.73764492,16.21765156,46.95529648,0.818569755,High
ec81,40.61238212,144.9874737,185.5998558,0.806711053,High
ec108,-422.147986,-304.8984339,-727.0464199,0.878412938,High
ec119,845.2934739,1199.753952,2045.047426,0.617546812,High
ec122,-412.0423979,561.0395144,148.9971165,0.809874463,High
ec131,309.7126465,820.6460413,1130.358688,0.71727637,High
ec132,1089.475402,1700.282303,2789.757705,0.528052018,High
ec135,-395.0683781,235.960653,-159.1077251,0.835567143,High
ec148,702.1107285,249.0732457,951.1839742,0.735352272,High
ec136,285.3528674,603.6660815,889.0189489,0.741505518,High
ec146,80.14555878,239.0595928,319.2051515,0.794967201,High
ec205,1010.696967,1311.249048,2321.946015,0.5850765,High
ec207,644.4407321,788.2264667,1432.667199,0.685660143,High
ec208,773.6663531,615.7938635,1389.460217,0.690263009,High
ec210,316.0939072,890.0028942,1206.096801,0.70948567,High
ec211,232.2218388,273.9334276,506.1552664,0.778022155,High
ec212,1291.808298,1523.747129,2815.555426,0.524832438,High
ec214,1125.044059,1627.035646,2752.079705,0.532740649,High
ec215,363.5110364,684.5779504,1048.088987,0.725638451,High
ec218,898.5876705,1087.982881,1986.570551,0.624275373,High
ec219,1271.181802,1747.223898,3018.4057,0.499257985,High
ec221,-175.4729038,552.0806311,376.6077273,0.789827368,High
ec222,654.8329018,688.7279329,1343.560835,0.695122278,High
ec223,1152.150309,1253.334097,2405.484407,0.575088169,High
ec243,208.8453237,781.6556285,990.5009522,0.73142894,High
ec246,755.6757817,1520.064478,2275.74026,0.590563434,High
ec249,-7.194912731,686.1356938,678.9407811,0.761839721,High
ec228,1188.906262,1710.576799,2899.48306,0.514306362,High
ec229,811.5276267,750.468847,1561.996474,0.671718528,High
ec112,-223.6040023,-39.73320507,-263.3372074,0.843874487,High
ec117,504.8841911,515.7948663,1020.679057,0.728401017,High
ec129,-509.4879317,-7.905087658,-517.3930193,0.863292031,High
ec201,472.3240624,397.761223,870.0852854,0.743367375,High
ec268,-264.9977389,86.15650743,-178.8412315,0.837155021,High
ec9,-190.812692,110.7426314,-80.0700606,0.829137152,High
ec26,452.2154323,683.4022971,1135.617729,0.716738259,High
ec28,-296.0475829,-91.93034464,-387.9779275,0.853549152,High
ec31,578.2244267,1365.029228,1943.253654,0.629229944,High
ec32,94.41964647,501.4238685,595.843515,0.76968411,High
ec42,368.2468626,822.6548903,1190.901753,0.711055751,High
ec45,-45.25920986,-524.1343223,-569.3935322,0.867119292,High
ec60,328.9698833,922.600917,1251.5708,0.704765855,High
ec71,-96.35479492,461.2649576,364.9101627,0.79087933,High
ec73,275.3050734,1104.161294,1379.466367,0.691323712,High
ec74,40.39166162,-196.325712,-155.9340504,0.835311115,High
ec76,-391.1686855,-248.6286253,-639.7973108,0.872220495,High
ec94,1017.385544,1448.744421,2466.129965,0.567782775,High
ec6,35.23153641,1029.460966,1064.692502,0.723959316,High
ec96,275.6909641,446.4412905,722.1322546,0.757717599,High
