"","T.cells","CD8.T.cells","Cytotoxic.lymphocytes","B.lineage","NK.cells","Monocytic.lineage","Myeloid.dendritic.cells","Neutrophils","Endothelial.cells","Fibroblasts","group"
"ec218",10.18917895,8.073471407,7.884376268,6.811148227,7.872306521,11.078646,11.62375572,8.033914927,10.03897433,14.10367099,"High"
"ec219",10.88217019,9.330325274,10.30510464,9.953712161,7.292776248,11.7425655,10.9266392,9.328097882,10.23427482,14.39258818,"High"
"ec220",9.489095332,6.848815124,6.381177962,7.608167187,5.14411176,11.07071942,9.634600337,9.7373889,10.00435292,13.78252015,"Low"
"ec221",10.1310961,7.020211609,8.637888297,7.66782937,6.328833222,10.50210263,10.01915972,9.529053935,9.920591944,12.0256484,"High"
"ec222",9.583466486,8.320101894,8.494190111,7.706863112,5.734460851,10.95672923,9.942756355,8.648723012,9.677055254,13.98064569,"High"
"ec223",10.19517353,9.526506429,8.346759652,9.215489295,6.882418421,11.37069058,9.631853178,8.437576257,9.885078571,14.29210482,"High"
"ec236",11.16260428,12.09930559,8.211205413,10.10512667,7.974276806,11.3591141,10.54906064,8.723209119,9.155580359,12.95212335,"Low"
"ec239",9.244483298,7.328559447,7.979498934,7.302549144,6.374729378,10.46892745,9.050753835,9.652636685,9.433016275,13.64757166,"Low"
"ec241",10.0264931,7.605624288,7.286145567,10.55627408,6.380196019,11.31369202,10.49307235,10.04323136,10.01042209,13.54280747,"Low"
"ec243",9.375716898,9.427883424,7.676201167,8.492138978,6.854269392,10.58883092,8.114235219,7.919693671,9.171772629,12.96579921,"High"
"ec245",10.17066484,8.068289826,7.415114927,10.4113442,6.273488083,11.24617783,10.2093058,9.419824587,9.62265526,13.96832253,"Low"
"ec246",10.60713692,10.82429835,7.750048209,8.417635436,7.491317869,11.54953551,9.396878709,8.439352866,8.909940846,13.10712367,"High"
"ec247",10.00826755,9.94003722,8.852395725,8.492388953,7.587200911,10.52322374,8.297311811,8.128458315,9.197375295,12.37715579,"Low"
"ec249",8.454769919,7.581303399,6.264387634,8.360509796,7.245854269,10.19288704,8.358956312,8.325241873,9.574710287,12.27783821,"High"
"ec228",10.63549806,9.782532517,9.655699736,12.10477157,6.945195373,11.62094793,11.02499803,8.559878542,9.726633899,13.88145849,"High"
"ec229",9.079011128,7.511925568,8.082604705,6.839864949,5.15880736,10.99694402,10.45572808,8.774408734,9.752242531,14.02288326,"High"
"ec231",9.996945097,7.906616508,10.47068401,6.653134571,6.205100662,10.05218567,9.141756702,8.657020743,9.608386493,13.98021341,"Low"
"ec234",9.676342004,7.643386152,9.12831135,10.5217651,5.601373439,10.31360196,9.645266403,9.046418031,9.514010894,13.16442881,"Low"
"ec102",9.027679811,6.643293502,7.514428307,6.36491089,6.430158839,10.92341541,8.514152008,8.669268515,9.939019466,13.93528645,"Low"
"ec112",8.011982384,8.373122016,6.965286764,6.461777601,7.14847051,8.362513873,5.987219464,5.983565701,7.184096391,11.66587594,"High"
"ec117",8.796027751,8.355571884,5.553361614,6.850118343,7.533503037,9.733453129,7.250706331,7.171357809,8.431836027,13.65247561,"High"
"ec129",8.81406596,7.721314186,7.268575554,6.906170769,6.509998073,8.990237498,7.012796438,6.782427955,7.626193208,11.10985464,"High"
"ec201",9.143355992,6.407135366,5.965740657,6.788735635,6.395313357,10.14054161,10.00457387,8.192583464,8.450223817,13.72995157,"High"
"ec217",8.770451759,7.250499522,6.741668647,6.500414175,6.846109154,9.727453676,8.779276012,7.851210337,9.014078314,13.45158391,"Low"
"ec268",9.595258423,7.49926837,10.87057505,7.040209146,6.001712485,9.891726785,9.644767603,9.00459938,9.237666323,11.93452103,"High"
"ec290",9.241568965,7.260044312,8.992467288,8.131681509,6.703162134,10.21653396,8.700845246,8.880216071,9.548119814,14.06537754,"Low"
"ec297",10.25871409,9.651359498,8.354387275,9.961107468,7.56070202,11.55036019,9.336074228,9.851855073,9.654522894,13.54801728,"Low"
"ec9",8.945731166,6.295997864,6.093775616,7.3868968,6.408271417,8.911912546,9.441200628,8.00062065,8.622483974,12.25848698,"High"
"ec10",9.423513605,7.528094089,7.150433095,7.412376997,6.821783683,9.626669221,8.738533097,7.568540775,8.754590341,11.88651582,"Low"
"ec11",10.26614898,8.068466041,7.089693138,10.99859321,7.532910574,8.97277032,8.710733731,8.099541217,7.107784221,9.583852733,"Low"
"ec12",8.708809154,5.919345376,6.026310064,6.538385321,7.094307486,8.291552649,7.311339278,8.753895978,8.198625978,11.72117666,"Low"
"ec13",10.26240274,8.396889396,10.04563114,10.40306352,6.990702744,9.229530554,7.505382821,8.319154889,7.988542559,11.19717417,"Low"
"ec23",8.706573836,5.470520377,5.616208119,5.97673073,7.269194148,8.211956451,7.740885217,8.328428864,7.463182908,10.51645132,"Low"
"ec25",10.37508025,8.021321548,7.607609825,7.56086006,6.071499691,10.63190298,10.51666024,8.364526117,9.25783739,13.97234685,"Low"
"ec26",9.504034025,8.895480597,8.510468952,6.757346959,6.869206066,10.34393227,9.887929683,8.354693209,8.775128395,13.36195337,"High"
"ec27",8.430752243,5.973323437,5.395446638,6.460143583,7.039849006,8.533911166,6.664702509,7.758497544,7.736888607,11.32824484,"Low"
"ec28",8.105276061,5.530119583,5.45542486,6.209161978,6.739294976,8.54985194,6.447032593,6.542853251,7.839628671,12.33753249,"High"
"ec31",10.33221254,10.45843637,9.339423754,8.973476958,7.479170168,11.51422019,8.660469925,8.01460417,9.035425949,13.0854695,"High"
"ec32",8.962680386,6.553071511,6.384097229,7.472899425,6.763308033,10.08980231,7.373866949,6.708831523,7.671793561,12.26732218,"High"
"ec36",7.862219432,7.629280317,7.613794028,6.765754808,6.550259688,9.077432629,6.859180409,7.33382171,8.018243168,11.18188465,"Low"
"ec42",8.962939439,6.279554751,6.736177192,5.743325311,6.140178007,11.89758111,7.661024924,7.658653034,10.04369535,13.4738259,"High"
"ec45",7.742013417,5.405947373,4.222334256,6.746779297,6.296118933,8.00714127,7.45380273,6.652487541,8.730215068,13.59465446,"High"
"ec46",8.272094912,5.499164908,5.818720392,6.980316475,6.441179665,7.781126596,7.335939868,7.618527877,8.017967313,11.5420806,"Low"
"ec49",10.01225256,10.98787003,9.203702786,7.651526349,7.303306575,9.969382569,7.995914416,8.731162378,9.271911875,12.49575301,"Low"
"ec51",9.17471222,9.416445676,10.1195834,7.25792889,7.096439068,9.999087711,7.015649618,8.263605219,8.753445091,13.010627,"Low"
"ec52",8.794280555,6.811742984,6.681182753,6.967915688,6.22808375,10.57547899,8.268062157,7.873072968,8.401057965,12.33638609,"Low"
"ec60",9.752785753,13.30239556,6.0259611,6.97513211,7.187534169,9.900374122,8.531891009,5.914458371,7.784558298,12.34036918,"High"
"ec61",8.565516715,6.781588627,8.53321794,5.862230902,6.423441076,8.064438237,6.123822268,8.06926662,8.285281585,12.40440763,"Low"
"ec71",8.673318161,7.064968013,6.098063976,5.963497155,7.100668718,10.25166893,8.033217125,7.341064053,8.847735085,12.77621705,"High"
"ec73",9.797060189,10.33271737,7.843923362,7.067968506,6.721909613,10.97220097,7.138620364,7.359077238,8.673015091,13.03286119,"High"
"ec74",7.555411124,5.185100683,5.79260887,5.80358659,6.394481582,7.694187329,7.874950726,7.984628025,8.851244518,13.44580716,"High"
"ec76",8.948498624,5.447512667,7.427828685,6.066470474,5.578945349,8.17362013,7.882325609,7.456870872,7.957136306,12.12568468,"High"
"ec77",8.366796868,5.424411876,8.559514325,6.321192572,5.816923539,8.791976698,8.03844823,8.396827605,9.299771143,12.94440152,"Low"
"ec79",8.308435943,6.012494155,9.435013106,5.78439949,6.062028501,8.310342458,8.699150678,8.117860771,8.297331882,12.3911962,"Low"
