ID,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
ec311,-0.282420135,0.177393595,0.102462305,0.255774462,0.222270521,0.254784827,0.569438662,0.21129737,0.103101705,0.243477343,-0.070599249,0.310675188,-0.211468761,0.288137244,-0.012232514,0.055306782,0.279508416,0.063285236,0.079351396,0.280974933,0.073564078,-0.028038951,0.401927276,0.081111592,0.015766218,0.127876602,-0.171563152,0.183440407
ec312,-0.252220652,0.220586266,0.234823719,0.260469963,0.233436141,0.281203469,0.560497089,0.185935849,0.061674596,0.312245835,-0.015370435,0.302936347,-0.109372619,0.247439788,-0.0466785,0.085831933,0.294866261,0.040567904,0.123287218,0.265188626,0.093266813,-0.017103199,0.381644713,0.105376409,0.067751295,0.140630818,-0.126331627,0.076664374
ec315,-0.209899311,0.344799734,0.203337314,0.218351985,0.204629788,0.258672624,0.53577116,0.150737339,0.101931788,0.27507278,-0.073444157,0.318393289,-0.12768421,0.358084138,-0.038449672,0.030951224,0.283887197,-0.031152561,0.091211039,0.262370884,0.015215741,-0.100206913,0.360556355,0.066712512,0.0725812,0.148539979,-0.175408757,0.077141087
ec316,-0.121923982,0.206739435,0.19637474,0.263940949,0.149166347,0.389304825,0.574891892,0.154130862,0.08545578,0.283365813,-0.03352901,0.233199364,-0.044407534,0.319896767,0.060499676,0.184144488,0.402431169,0.146148381,0.131670886,0.351888936,0.066217951,-0.145704251,0.468144384,0.148370001,0.040811983,0.217885367,-0.128342407,0.078369757
ec317,-0.124044992,0.300096583,0.216606078,0.273550848,0.19595684,0.308327781,0.567438752,0.219432848,0.160817402,0.29907152,-0.026173037,0.300760907,-0.036653905,0.302494859,0.058427216,0.195277893,0.427331078,0.092575456,0.103021274,0.359121108,0.098163978,0.028905054,0.416592671,0.279936026,0.084346758,0.223739243,-0.139977694,0.138326842
ec318,-0.136502842,0.166271894,0.223083959,0.22975146,0.162203352,0.305970645,0.5485423,0.220512558,0.045773675,0.267748892,-0.132375541,0.309465211,-0.050241799,0.271644588,0.036147959,0.118398558,0.378514916,0.047020095,0.084066796,0.292400356,0.07159333,-0.103062257,0.409111614,0.169200758,0.065025002,0.158798151,-0.246596264,0.003627971
ec319,-0.323171155,0.199632855,0.077099864,0.211492684,0.187498406,0.270548393,0.562722715,0.216301752,0.069208831,0.224419288,-0.134673854,0.331008617,-0.151462023,0.265048455,0.010317514,0.052025464,0.326047275,0.061940964,0.092198925,0.277530854,0.064729282,-0.007874723,0.386455264,0.101343698,0.03130081,0.142768411,-0.131801167,0.142198736
ec321,-0.259470494,0.15384529,0.052405404,0.231527728,0.183238983,0.313254976,0.557078829,0.189123602,0.110524756,0.239068825,-0.078173844,0.303068778,-0.146145877,0.275453558,0.047453308,0.144703579,0.361085841,0.106615285,0.090312255,0.274369879,0.089741128,-0.069638894,0.429190833,0.203426257,0.070831657,0.151836311,-0.182998351,0.05472686
ec322,-0.114321843,0.23691156,0.237951359,0.278574455,0.219000592,0.311746633,0.564037981,0.167471045,0.083441136,0.311867707,-0.091108134,0.307407305,-0.0106485,0.328936053,0.061000549,0.154349754,0.403524919,0.028880287,0.090817874,0.316554136,0.084224469,-0.118995814,0.412982614,0.18690229,0.099170724,0.166773393,-0.160815807,0.115130317
ec324,-0.30932309,0.26144491,0.109537308,0.204947834,0.132097114,0.251398149,0.545719807,0.193219477,0.093284914,0.250512945,-0.095496134,0.302644569,-0.180743905,0.292783077,-0.032527851,0.06180472,0.302305071,0.033190501,0.047557759,0.268395307,0.045352522,0.006125224,0.385300379,0.112383591,0.068988424,0.114827007,-0.156545971,0.044135844
