p.value	HR	Low 95%CI	High 95%CI	coef	Gene	type
HIST1H2BL	0.102203097575439	1.82469321878999	0.887046885835409	3.75347165506644	0.601411873611027	HIST1H2BL	None
HJURP	0.114098765465021	1.16198914646355	0.964543427898522	1.39985275669841	0.150133317993281	HJURP	None
HSP90B1	0.5877126811991	1.13811266294723	0.712963681515058	1.8167831926702	0.12937133163624	HSP90B1	None
HSPD1	0.542247567357085	1.12000793103388	0.777893013987953	1.61258391966766	0.113335766562179	HSPD1	None
IKZF2	0.513318835581908	0.957731532982689	0.841406588296858	1.0901384681644	-0.0431877772550468	IKZF2	None
ILF2	0.973491787267484	0.993554646198695	0.678504764380642	1.45489153032567	-0.00646621478002118	ILF2	None
KDELC1	0.269589558136713	1.12280077985843	0.914112159687582	1.37913228468764	0.115826260071101	KDELC1	None
KIF15	0.923241185053449	0.989672562762098	0.801274572864033	1.22236723172582	-0.010381135246337	KIF15	None
KIF23	0.991304623449657	1.00158365831143	0.753519323883114	1.33131267215134	0.00158240564695664	KIF23	None
KIF24	0.379558249496702	1.08078442905952	0.90883293546675	1.28526920241685	0.0776871006943426	KIF24	None
KIF3C	0.88337909986612	1.01101151616087	0.873388048659667	1.17032089845804	0.0109513308348518	KIF3C	None
KNSTRN	0.953370763199106	0.993300385829971	0.792916258877461	1.24432516730931	-0.00672215732843408	KNSTRN	None
KRT80	0.0267555660104303	0.87445327425556	0.776574656063219	0.984668406168048	-0.134156417333995	KRT80	Protective
LMNB2	0.621348341082968	1.06830555950228	0.821923267731319	1.38854417835578	0.0660738040208286	LMNB2	None
LY6D	0.373358025776121	0.946505336856635	0.838596394813383	1.06829979026735	-0.0549786698313447	LY6D	None
LYPD3	0.0723622802729858	0.882502970876629	0.770023534796402	1.01141258469716	-0.124993123747911	LYPD3	None
MAB21L3	0.511416817129783	0.964073620830908	0.864333264925136	1.07532358651326	-0.0365876171311002	MAB21L3	None
MACC1	0.0691404532522478	0.868687852027832	0.746337715375549	1.0110953375591	-0.140771421896196	MACC1	None
MAD2L1	0.662338102321986	1.03980748979207	0.872697688685706	1.238916557068	0.0390355900498968	MAD2L1	None
MAD2L2	0.349098661137538	1.10676871794139	0.895026972031589	1.36860344245624	0.101444705016022	MAD2L2	None
MAL2	0.00491501305384448	0.74141910690684	0.601888420515347	0.913296008612148	-0.299189217209883	MAL2	Protective
MCM6	0.53289324421012	1.08791318515305	0.834792145281476	1.41778418151116	0.0842613521922529	MCM6	None
MCM7	0.379722478073603	1.13720211621534	0.853589023113672	1.51504836414985	0.128570961692849	MCM7	None
MEX3A	0.506432722174383	1.04817361512797	0.912338359784756	1.20423296430246	0.047049235468251	MEX3A	None
MSH6	0.219454204854361	1.24055954491157	0.879418835701391	1.75000571058246	0.215562523732564	MSH6	None
MTBP	0.171034274943074	1.13696743801366	0.946081184885869	1.36636789289843	0.128364575847899	MTBP	None
NAT14	0.370329002575634	1.12070288772595	0.873403207055279	1.43802421654928	0.113956066788823	NAT14	None
NEK2	0.371385649047223	1.12156491525019	0.872121765744033	1.44235347462864	0.114724955826576	NEK2	None
NUF2	0.20203098568529	1.15917018053804	0.9238452028693	1.45443793318985	0.147704387519926	NUF2	None
NUSAP1	0.387579983729822	1.10757103250725	0.878450601433245	1.39645142259305	0.102169358584482	NUSAP1	None
OIP5	0.995614698597188	0.999428081129691	0.814990251519178	1.2256054443457	-0.000572082478289683	OIP5	None
OVOL1	0.0343598491290615	0.878438904842008	0.779057537393725	0.990497970305938	-0.129608918631613	OVOL1	Protective
P3H4	0.951568966670127	1.00490046957482	0.858247384783649	1.1766129109805	0.00488850135778818	P3H4	None
PDIA4	0.894968546474128	1.02334167749878	0.7265310573296	1.44140870282291	0.023073426805356	PDIA4	None
PDZK1IP1	0.0511283510600698	0.887348516013014	0.786926108176599	1.00058618044198	-0.119517458383629	PDZK1IP1	None
PLD1	0.416673009360433	0.928995744105727	0.777725868549073	1.10968803722143	-0.0736511213351682	PLD1	None
PRDM1	0.0617739633867576	0.812911230762144	0.654113701684846	1.01025963436799	-0.207133362650124	PRDM1	None
PRKDC	0.759565851201844	0.951572282033591	0.692439762352004	1.30768025923143	-0.0496396287270391	PRKDC	None
RAB27B	0.274438479092568	0.887715765637993	0.716985354259913	1.09910094520086	-0.119103670968701	RAB27B	None
RASSF3	0.0712282817518964	0.814758748174918	0.652179516829249	1.01786670785823	-0.204863224071521	RASSF3	None
