"","HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM","TRM cell"
"ec316",-0.0953991201051687,-0.322863451984963,0.247797857192723,-0.0384957748675999,-0.147482058293522,0.12551190926802,-0.0330289699707289,-0.0370434732017681,-0.165459552129932,-0.107601635980609,-0.0692379728327876,-0.374437438977875,-0.522813866100129,-0.0583655890738523,0.0270200152203951,-0.0722820868442327,-0.162455794553894,-0.436318344231738,-0.225344453105928,0.14167069034388,-0.086517306132327,0.0189204342733166,0.118706659424532,-0.0388158449186358,0.234885195288539,-0.370084290482122,-0.269321016591315,0.152026936320477,0.142995349942096,-0.251466770374281,-0.241895753462944,-0.490998387846565,-0.661346759121449,0.014039299678022,-0.153105798877941,-0.194871749136183,0.000886320144456096,-0.0303186774062709,-0.0835654392199237,-0.0322112200685472,0.0894061983533111,-0.298878475197906,-0.0811288046490528,0.130518654446158,0.206106615390523,-0.312242147945646,0.106507203312991,-0.268812299371324,-0.164708960026743,-0.0754478850629877,0.293718405951598
"ec317",-0.145895203357783,-0.251462569799334,0.0597357165751118,0.236515019520031,0.0300681130572487,-0.290340728329527,-0.144417777715606,-0.174662460899082,-0.238637700602928,-0.0877424095020771,0.0736281143399152,-0.437145543837235,-0.397801262177681,0.339381322728863,-0.0513281820967664,-0.134104565845332,-0.207355301284806,-0.321116483184441,-0.110410221114452,0.337625118727288,0.0224831198563527,0.0175141001091206,0.166756794026782,0.170857584658123,0.309882793142159,-0.318056531636502,-0.287827236071452,-0.1176955053352,0.188727347015354,-0.195682534849926,-0.156932421213164,-0.468642628805074,-0.516538082949807,0.0873905585176938,-0.174880693913726,-0.353386333408641,-0.196750899817604,0.118571985343356,-0.233637318535339,-0.079754504017288,0.0866649133047975,-0.274729419324217,-0.0366484306372372,-0.011931615769246,0.0205224842784069,-0.133901323515063,0.226319773618399,-0.318599784492882,0.127649971034631,-0.157784816244859,-0.0584405101168193
"ec318",-0.223883231308981,-0.29262873248329,-0.258668027181223,0.0834767436353008,-0.120845608603949,0.0696384967667597,-0.357367382345084,-0.0837149545930935,-0.35375761155358,-0.151360449799746,-0.0568710044430439,-0.241945499919915,-0.404248172074785,0.0485602407204502,-0.228782581467471,-0.227943308714918,-0.304095168009827,-0.326412346935728,-0.300051636633981,0.14134534895186,-0.2027099592716,-0.361718228624736,-0.111694653512031,-0.161127576632982,0.1498365966161,-0.405018573672797,-0.379175632560098,-0.0561919338340021,0.0337199443791323,-0.190015920369458,-0.295522165548819,-0.370104933603891,-0.325781857535789,-0.157689688218479,-0.0451276023346316,-0.379119811314672,-0.284042437093669,-0.0703076068144178,0.113085708752875,-0.211340490635085,0.104734043384296,-0.439969129407537,-0.0873230762410462,-0.1408967436071,-0.338602913081487,-0.116407916063803,0.0686719127877074,-0.240057142695985,-0.00441256659987596,-0.264841526306233,-0.311913569313583
"ec319",-0.114467858382028,-0.411330651502695,-0.134543753057535,-0.0241993281410477,-0.0673177107295731,-0.242484014544011,-0.142329332755625,-0.0846649346967507,-0.00570674134412635,-0.369218344613414,-0.184763123436688,-0.141949250720366,-0.10809159212689,-0.155350012725776,-0.048620681062736,-0.192733606770319,-0.211141423548634,-0.015188640545222,-0.175563051272196,0.280242252490895,-0.0510661237064033,-0.227619099862798,-0.123671046821978,-0.149964995422655,0.0966596662718063,-0.0954116004834817,-0.186033978456563,0.0400706431234311,-0.0151114784379086,-0.104893435050607,0.138724998146719,-0.253128443055013,-0.114367381281607,-0.214247375758049,-0.17147255012574,-0.303651190154152,-0.0295807558841726,-0.19015602434623,-0.162377126948412,-0.0881764397139974,0.0933703923148498,-0.203254015447895,-0.139098657537315,-0.0066136947859415,-0.0514191427845842,0.134763339054462,-0.185085942759149,-0.227204520977171,-0.0667700304252058,-0.120419468992868,-0.0742526470037226
"ec321",-0.146646528226681,-0.453922658024209,0.0729265020481818,0.479889773641745,0.0607891349134156,-0.0261801874858097,-0.126402379979801,-0.300915854388306,0.147061742987764,0.0180785651847115,-0.107937194096449,-0.300292130980479,-0.355515436705748,0.409479221308331,-0.168091590630988,-0.273619900335944,-0.291255040571913,-0.290863020016071,-0.185729554652708,0.338925842005181,-0.122977485660239,-0.0202065793836744,-0.0208653343379977,-0.20331035461096,0.0204957699445077,-0.600644565078945,-0.447185253365666,-0.167186487812504,0.0425560708735886,0.101542329911211,-0.0561279429397866,-0.359780094911994,-0.107450244547846,0.096071475833638,-0.030994689211211,-0.370847265927121,0.00200716452788322,-0.320789917175775,-0.195126912288234,-0.0593014750925757,-0.00237607046618864,-0.2646148528349,-0.235431766200511,0.250961420976675,-0.0507541630573829,-0.0918059413995966,0.279677014025757,-0.254582610752649,0.179976742912981,-0.186856147065529,0.0303584513088792
"ec322",-0.181758357736038,-0.329629845742517,-0.114441899215603,-0.11822598660595,-0.154288645274409,0.180124528879515,-0.154407914865281,-0.109522716410895,-0.248122537145278,-0.190939975243195,-0.0813251114184395,-0.254676361166411,-0.299197581748378,-0.0795019486654115,-0.1301623501307,-0.178936410822364,-0.0707987341564921,-0.232939786858763,-0.268411254191165,-0.104027117862876,-0.0727056097273897,-0.316082459459187,0.0384702718004688,-0.0826356059448027,0.135284991829762,-0.00272101561936944,-0.13139055076902,-0.113652729364069,-0.00642409776036937,-0.107599237572803,-0.24803688984702,-0.364257332454186,-0.29362467912333,-0.160488878963648,-0.334321853590838,-0.338519260657624,-0.184736723815503,-0.382429300890894,-0.00337696288950262,-0.191543431501308,-0.0916091946330716,-0.417622974278742,-0.321020585452558,-0.150818557273971,-0.202240068975768,-0.18843016488688,0.069778795689365,-0.329054386446453,-0.241617480964077,-0.217953828198937,-0.0228412439138965
"ec324",-0.176174061890396,-0.494614307783075,0.0682846852531398,-0.120883878575017,-0.0746246739604752,-0.0416975439551697,-0.127712837047348,-0.133233543180276,-0.0189531683548613,-0.223890831006422,-0.160146611233389,-0.111246264532126,0.0237705080186554,-0.227693898627357,-0.0109619139545735,0.0995851718841666,-0.112339985544142,0.0666487614948364,-0.158526034562388,0.148072445253697,-0.0921925719782312,-0.210610100482102,-0.162934712809083,-0.133548774489529,0.0674458170503985,-0.244051250907662,-0.321500422529097,0.027622792917372,-0.0993448901648009,0.0506340901418354,0.0989052445673273,-0.300892785406663,-0.0124250629266413,-0.20834780938916,-0.352237132188192,-0.20418334077787,-0.0593684259294737,-0.114899546731173,-0.156077577262513,-0.0784006068773061,0.0559771538013554,-0.335515457400219,-0.171864413331002,-0.199311521624587,-0.106339747730199,-0.00209673961978502,-0.120823895936127,-0.109411996390307,-0.294860575005718,-0.230121815867519,-0.143290197256421
"ec333",-0.228469455443994,-0.321699150760595,0.0255660564262779,-0.183298561696167,-0.265592589463156,0.131745879297265,-0.237153687731997,-0.00595721144591282,-0.17042502364071,-0.245699234801486,-0.284668665225784,-0.359783110641025,-0.34221622761076,-0.176648124565632,-0.0493551546239765,-0.0989568662897718,-0.256227999288642,-0.281494433787688,-0.216319268946161,0.15267749684461,-0.110987758463034,-0.167042538537066,-0.204462758590382,-0.238755927574445,0.0548454038851239,-0.330786131327404,-0.168820583100281,-0.0929951156484144,-0.171858209764877,-0.264959579029756,-0.284348739813189,-0.417361133791922,-0.392701139125729,-0.11086639837102,-0.365651573341018,-0.325107642216783,-0.255667272858309,0.0873972478697163,-0.214080234486955,0.0414099355410542,0.0153075038971885,-0.441574143668166,-0.102438591957567,0.182022170034368,-0.0452093377838165,-0.143989554621862,-0.0773922913017035,-0.316666472907582,-0.00356651504709452,-0.302762231785153,0.0413695652970061
"ec334",-0.328842349039441,-0.427636017472185,-0.0960191158835713,0.253840819668651,-0.0941412689601526,-0.208277926955528,-0.192102918572957,-0.197453034185514,-0.128644739095751,-0.104883982428622,-0.24472852312323,-0.298611057343686,-0.37414451267282,0.0742247991375087,-0.157519729912562,-0.176987768823886,-0.22220729790122,-0.325537062892749,-0.21804558688311,0.0151075482975415,-0.0144338445109893,-0.0210199038716167,-0.165388199335069,-0.350239155907303,-0.0560072967057538,-0.489585158457146,-0.357632283981217,-0.11451946629417,-0.0365038913345685,-0.267548105589884,-0.173471006061256,-0.345009385475295,-0.306638279449929,-0.0593730260161824,-0.114721173318498,-0.355897800937133,-0.0194230625666416,0.0825070009862885,-0.0796596584530648,-0.134011707685852,-0.107324849983475,-0.451168528160608,0.0263385467436761,-0.0234979617034664,0.0755239411838276,-0.105643065671939,-0.0569725741406506,-0.257252687035177,-0.414501263435942,-0.201101359965487,0.178624058461339
"ec337",-0.30888021641093,-0.363249248666472,-0.0748820926891758,-0.0799787180846042,-0.125965960614338,0.234639383347714,-0.279066172263781,-0.260483252015859,-0.236164023429638,-0.316390896176046,-0.34902488559472,-0.264750349116183,0.133288345994717,0.086448338355884,-0.18906386967826,-0.227543899356635,-0.289752532990951,0.209672730165251,-0.246572553398035,0.118170557465376,-0.236850430990845,-0.245715401415252,-0.0903522313325932,-0.226599891247733,-0.0887608466364727,-0.385096463569713,-0.387096415873214,-0.0754773615873873,-0.212747572833613,0.060932539201222,-0.229654865145631,-0.277642118535902,-0.293235959558625,-0.0933945729999935,-0.262558919849781,-0.380242725883439,-0.292145169354877,-0.109152142335817,-0.0999089663008976,-0.231421828617891,-0.126654482594503,-0.530602757954774,-0.00118167740660932,0.166239054174982,-0.202047879291227,-0.326643857592914,0.0327390040947544,-0.27510129535085,-0.0753249366258193,-0.313693138438299,-0.253569230799057
