"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","group"
"ec311",0.118793353633239,0,0.0231172756541205,0.0553225036663119,0,0.138098086242629,0,0.0585018611885656,0.105867363952609,0,0,0.013399087598917,0.126249283786027,0.0710682437123841,0.0764926057720429,0,0.088657485863401,0,0,0.105473947539831,0,0.0189589013899222,"High"
"ec312",0,0,0.046739945704949,0.0372009052542376,0,0.244875630806615,0.107815298878238,0.0489811654303718,0,0,0.0173400699868612,0.0348897122092486,0.0870345816991831,0.0811344221149603,0.156719564536117,0,0.0513865039181309,0,0,0.0858821994610871,0,0,"High"
"ec315",0,0,0.309748571560743,0.182790005660464,0,0.0123756270108588,0.0817277956431814,0.104464464319999,0.0404182461577314,0,0,0,0.0581194376289112,0.0121329451664362,0.0735513537868018,0,0,0.0436263816712031,0,0.0652874614210334,0.000987862666478545,0.0147698473061572,"High"
"ec316",0.0258733234352195,0,0.240923669639685,0.179535714249446,0,0.0238769449913743,0.0579709555517062,0.0286226156368131,0.0972730144224862,0,0,0.0359521988920084,0.0535900089797841,0,0.0991130389326451,0,0.00801207450223433,0.0263461587958603,0,0.110284706261892,0.012625575708845,0,"Low"
"ec317",0.012469569659936,0,0.160837779232386,0.0864542682133147,0,0.167618884078336,0.10102858233582,0.0100684599724168,0.0120590340275133,0,0,0,0.129368395845182,0.0636889998939837,0.0894809479420452,0.0117708403032872,0.0186435201993089,0.016449685782724,0,0.0742499756890036,0.0165214160569329,0.0292896407678095,"High"
"ec318",0.0097887964154247,0,0.291469487991829,0.137336250305376,0,0.195776010911563,0.0184679623322752,0.0413389963837742,0.0355533700281397,0,0,0.00510426581388333,0.0841824492496837,0.0206395539470396,0.103312377946787,0.000640199260222753,0.0269424607078746,0.0165172633054144,0.00978032797918603,0,0,0.00315022742152696,"Low"
"ec319",0,0,0.00391411817627293,0.00604883163432172,0,0.18556693484064,0.00029879989394015,0.0508727370899568,0.0562042151431698,0,0,0,0.240072930160004,0.0713627164412828,0.0518280714170493,0,0.0460921351349764,0.0516088330856349,0,0.210479957258145,0,0.0256497197246058,"High"
"ec321",0.00195647550477763,0,0.0468709361037485,0.0550434184161307,0,0.238335925487293,0.16600406009878,0,0,0,0.0154201791802119,0.00354115163384864,0.152606374349941,0.14153006919486,0.0225364059482633,0,0.0926393053786179,0.00638435515936496,0,0.0571313435441628,0,0,"High"
"ec322",0.0503242824943252,0,0.122424808460405,0.0256647584577806,0,0.116085664484762,0.0283662333965753,0,0.161948726469112,0,0.00678709018392947,0.0454260170094653,0,0.0806516575075993,0.082283459979799,0.0863446392149492,0.0199910664245723,0,0.139287296014023,0,0.0240130785253941,0.0104012213773073,"High"
"ec324",0.0477749905694961,0,0.0838748533142704,0.0666500689410241,0,0.0761998588330092,0,0.0838022962383796,0.0368640329863861,0,0,0.0587032492163196,0.12298276688121,0.0466335156323869,0.149965629073425,0,0.0155222337225174,0,0,0.143193923325897,0.0551445225735159,0.0126880586921634,"High"
"ec333",0.0661639717766037,0,0.278000609690268,0.199020992853712,0,0.0477740891529195,0,0.0724770412733504,0.076952171250787,0,0,0.0141872939547725,0.0474602123852334,0.0306491279890518,0.0312864599961151,0.00363589857873073,0.0188609587627303,0.0640903325411693,0.0494408397945563,0,0,0,"High"
"ec334",0.00674194049469818,0,0.222641217341669,0.10288898148866,0,0.126840920902821,0.202370831357231,0.0261808587734352,0,0,0,0.00594479713847053,0.115808350133875,0.0532562057533259,0.034944743356787,0,0.0714689635554713,0.00111162762146707,0,0.02908664186896,0.000713920213128142,0,"High"
"ec337",0.11201415291119,0,0.0892434301019531,0.137529816743423,0,0.014322121013449,0,0.232766903393129,0.0421007108304103,0.00975185248560506,0,0.0884455354893596,0,0,0.169991526830764,0,0.0535537691233022,0,0,0.0434115201024034,0,0.00686866097501119,"Low"
"ec338",0.056652569342048,0,0.078126262564716,0.17913720200304,0,0.0817218323293915,0.0963548732043665,0.00893153314456348,0.0676561119627895,0,0.0186690838674492,0,0.0095342171662165,0.0251920667916369,0.0640481971105212,0,0.128992291331283,0,0.0363962061407568,0.0228589949699143,0.0929419816074678,0.0327865764638385,"High"
"ec340",0.01785167113737,0,0.345311454458615,0.0567564296964525,0,0.0990472086740847,0.0303486305251002,0.107061135079767,0,0,0,0.0293184921997548,0.0759067257120915,0.0168158284491065,0.101314377850311,0,0.00582321249718773,0.0190737359383971,0,0.0508823361898535,0,0.0444887615919082,"High"
"ec341",0.0313121814303971,0,0.0550947009136176,0.0607724558600371,0,0.303265697790094,0.0403351249049697,0.00935040942795587,0.0571082746076519,0,0,0.0346134396277689,0.100679327885073,0.0856938398472289,0.0887198086066346,0.0140817877848668,0.0792159599569864,0,0.0317982519236607,0,0,0.00795873943305719,"High"
"ec342",0.156863251841165,0,0.102489919860654,0.161632178176756,0,0.048315746022489,0,0.0583620240638735,0.0643705806595435,0,0,0.0801457724345618,0.0814222212439658,0.0136391656352961,0.0488665496988391,0.0306877495958943,0.0491139827467223,0,0.0115720349202512,0.0577793213734579,0.0347395017265311,0,"High"
