,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SPAG5,3384.98433128646,1.70489296188637,0.076992757365596,22.1435498639278,1.20372754699165e-108,1.42249674612838e-106,up
UBE2T,3940.19270717461,1.76001500588906,0.079897460731372,22.0284223025123,1.53838814568751e-107,1.76928372362507e-105,up
FAM72B,1083.86161016229,1.78595798132475,0.0814252612730643,21.9337089424304,1.23904622902828e-106,1.37587538587184e-104,up
RAD51AP1,1717.04469809277,1.88615618357715,0.0868071895734835,21.7281102273273,1.11288686988608e-104,1.21483862466123e-102,up
HSP90AA1,36497.1954062461,1.12503384243416,0.0518606333521792,21.6934073055798,2.36783466681202e-104,2.56303179354669e-102,up
CDC45,3347.76129750832,1.79688727765785,0.083277336454796,21.5771463660251,2.94491331726263e-103,3.13499408592231e-101,up
E2F7,1292.9554653948,1.46040845521467,0.0678797595070466,21.514638027895,1.13562256054336e-102,1.1796737259967e-100,up
TACC3,2940.86959830685,1.2635054745913,0.0588802552642775,21.4588994038867,3.77125149853427e-102,3.88619924420959e-100,up
KNTC1,2431.72891955733,1.32897761218045,0.0620439551120382,21.4199370394844,8.71065366458321e-102,8.7657757698044e-100,up
MEST,3336.69429452111,2.05352031285001,0.0960089532547632,21.3888418031277,1.69720497858761e-101,1.66883185718985e-99,up
STIL,661.570659461499,1.57475593351882,0.0746511276205774,21.0948713530851,8.86463237128607e-99,8.27429924453158e-97,up
LRRC8D,5861.92706002337,1.34873129189553,0.0650708825526209,20.7271092535875,1.9729043051709e-95,1.75261933482113e-93,up
IFI6,57322.2201200392,1.95229391737628,0.0946570908928088,20.6249093328581,1.64038048034445e-94,1.39932059386204e-92,up
CABYR,1282.45856311237,2.69455461674941,0.130675594911748,20.6201825105076,1.80874903823397e-94,1.52277753996679e-92,up
GPR19,427.51620220714,2.36385915535113,0.115189478651823,20.5214849743026,1.38419191363738e-93,1.15030813158472e-91,up
RAD54L,2146.91786672129,1.74034497172265,0.0849107581386122,20.4961657376988,2.32940545817518e-93,1.92340203248427e-91,up
MTBP,540.883952839199,1.63947869037338,0.0802132258342941,20.4390070754696,7.52546342575901e-93,6.17423531128674e-91,up
NUF2,4243.29323523932,1.4904670314447,0.0730498011286242,20.4034372225096,1.55865103072631e-92,1.26270339162173e-90,up
CCNB2,5043.47833254632,1.59518745433692,0.0783020875213301,20.3722212885113,2.94989531215509e-92,2.37485009474186e-90,up
P3H4,1964.12872525029,1.87674479781842,0.0924061539650415,20.3097382294303,1.0546493498715e-91,8.38576436771284e-90,up
CDK1,6429.58998308142,1.61954902461541,0.0798012718244236,20.2947771080478,1.43001690982422e-91,1.13006428315619e-89,up
PRKDC,8583.4635904832,1.02480499908293,0.0505270016425566,20.2823236243605,1.84219956194842e-91,1.43814379136107e-89,up
MTHFD1L,1136.92984210675,1.44794117026532,0.0716642203767033,20.204519949484,8.93340620393851e-91,6.84947650672214e-89,up
SPC25,2762.37616259437,1.4529945397844,0.0719936553002423,20.1822581965708,1.40193017979573e-90,1.06853625123958e-88,up
FTL,118507.826173356,1.43691686364216,0.0713090960485283,20.150541000608,2.66189098889678e-90,2.01693046046938e-88,up
