,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
SCGB2A2,408.026958503749,-2.53955975075875,0.223629560829755,-11.356100424899,6.91635234921678e-30,4.80267032939415e-29,down
IQCF1,1514.11859026138,-1.74205547472062,0.153458385897675,-11.3519731393644,7.25077196377028e-30,5.02675961600242e-29,down
ARHGEF38,39.2065182245244,-1.40750155215942,0.124060071588489,-11.3453227467749,7.82370436947538e-30,5.41812559049529e-29,down
BHMT2,448.360172366373,-1.33188744831423,0.117435665378512,-11.3414220800926,8.18042074633313e-30,5.66211712162907e-29,down
RAB11FIP1,8931.59145300867,-1.16622152848127,0.102895617078673,-11.3340253121723,8.90175744052182e-30,6.15477925879557e-29,down
PI16,3379.65159001511,-2.07592484642472,0.183225683954562,-11.3298790956595,9.33334851790258e-30,6.43246989080274e-29,down
CYP2C18,4678.21475354767,-1.67831345961794,0.148592350379256,-11.2947500684546,1.39299764518574e-29,9.51894040723476e-29,down
FAM218A,626.373655529785,-1.17591366082796,0.104263168193435,-11.2783227404555,1.67916914908554e-29,1.14320178696463e-28,down
CTSE,1534.95072962861,-1.91703394473781,0.170178742043425,-11.2648261570099,1.95737857108854e-29,1.3297992285966e-28,down
AKAP12,3985.76885813966,-1.2449516759848,0.110689413262944,-11.2472515598886,2.38921314593279e-29,1.61976076488212e-28,down
HDC,781.184031742146,-1.00191050029258,0.0891080596224297,-11.2437696942106,2.48537698099398e-29,1.68229852297338e-28,down
ANK2,384.210192564058,-1.68799016313539,0.150319412227543,-11.2293557972421,2.92604071479823e-29,1.97642005491956e-28,down
SLC24A3,3752.83131733418,-1.20257089636709,0.107144743968384,-11.2237973775171,3.11596779527631e-29,2.10140215554734e-28,down
CRABP2,60532.0780648943,-1.39555587416296,0.124396339511598,-11.2186249180817,3.30367326200836e-29,2.22682445253426e-28,down
FAM135A,2677.6022914283,-1.00838960501434,0.0899170827155209,-11.2146610472748,3.45507535710568e-29,2.32522600182227e-28,down
PRUNE2,1349.53022180425,-1.81379681296495,0.161750999756202,-11.213512223719,3.50022814811068e-29,2.35192690536326e-28,down
P2RX1,1606.18171260944,-1.00916081394437,0.0900362657258179,-11.2083814872722,3.70913690966506e-29,2.49100065346171e-28,down
PLCD4,426.438230068223,-1.05075257081083,0.0938703909074762,-11.1936528723579,4.38009074914533e-29,2.9293846801527e-28,down
DMGDH,190.369436215086,-1.18614612331898,0.106106019204194,-11.1788768649997,5.17406355219222e-29,3.45321827024808e-28,down
TRIM29,25067.8923681887,-1.04114824199733,0.0931373568456867,-11.1786320468847,5.18835500037032e-29,3.46096327083221e-28,down
CD1C,114.504160167563,-1.22690663294181,0.109802055971513,-11.1738038244031,5.47834644080077e-29,3.65251451883823e-28,down
TMPRSS11E,18674.5218386334,-1.89508126452701,0.169610317344034,-11.1731485100819,5.51892555279955e-29,3.67766580680864e-28,down
SLC9A9,3847.57980765815,-1.0389491748707,0.0930587303484981,-11.1644460544423,6.08694500280642e-29,4.0501015606489e-28,down
OR7E24,477.548805993344,-1.53078308858619,0.137264668446295,-11.1520546832131,6.99716933931699e-29,4.64111937485799e-28,down
ZNF365,3184.32373383822,-1.58395621633626,0.142283916747647,-11.132363042448,8.72902758241873e-29,5.77200227356959e-28,down
ABCA6,502.592283613292,-1.11750752310995,0.100408356807077,-11.1296266431002,9.00117245448743e-29,5.94890212346088e-28,down
MOGAT1,135.992611011762,-1.42467319436063,0.128026786247412,-11.1279306160779,9.17405676496112e-29,6.05694644743538e-28,down
CHRM1,137.087574930072,-1.86696068392403,0.167850741950423,-11.1227431123031,9.72355548413315e-29,6.40988322370108e-28,down
CYP2C8,415.055027273974,-1.42530496532171,0.128188784772979,-11.1187961399737,1.01634109636001e-28,6.67592537593739e-28,down
PTH1R,209.730512052575,-1.14195742060413,0.10273849828183,-11.1151850543068,1.05830989082649e-28,6.93745023090893e-28,down
B3GNT6,376.572844129425,-1.82624765252264,0.164371085376198,-11.1105164776571,1.11512661139853e-28,7.30246358994636e-28,down
GRPEL2,6452.41952093219,-1.07943640640112,0.0971739753269894,-11.1082869952457,1.14331704228455e-28,7.47946512019667e-28,down
EPHX3,22388.0069400703,-1.37112585431845,0.123538905926027,-11.0987372280879,1.27228733078498e-28,8.29789018118548e-28,down
