logFC	AveExpr	t	P.Value	adj.P.Val	B
TGFBI	2.3667427932961	13.4811139636872	27.7967917222835	1.05486517952095e-91	1.75732725092046e-89	198.652107936203
SNX9	-1.58159989944135	13.0177532458101	-27.7518070883868	1.57154962250562e-91	2.58615739098669e-89	198.254382256033
SP1	-1.58447759217878	13.9523939329609	-27.7412730018418	1.72538153607967e-91	2.80509619853724e-89	198.161212297562
GNA14	-2.34315944134079	9.05456852793296	-27.7115717330281	2.2452645823807e-91	3.606857175553e-89	197.898446090547
TGM3	-4.45212080167597	13.8157760606145	-27.7032641439609	2.41695634930396e-91	3.83698929147148e-89	197.824930657327
RAB10	-1.35711561173185	14.7063642835196	-27.6490423957504	3.91038425408655e-91	6.13566571216789e-89	197.344914240563
CTTNBP2	-3.32560884804468	10.9281226011173	-27.6475914407234	3.9610736486968e-91	6.14376181787525e-89	197.332064458542
MINDY1	-2.06618896368715	11.856944146648	-27.6356328191476	4.40471543906216e-91	6.75423069712555e-89	197.226148538196
FCER1A	-3.69980969441341	10.494102674581	-27.5634966612246	8.359536970307e-91	1.26745608850924e-88	196.586895129167
KIF20A	2.21200412793296	12.2811127963687	27.5282893934274	1.14311196913074e-90	1.71390587905002e-88	196.274677116161
OR4S1	-3.50011660670391	9.70037215251397	-27.4979866858542	1.49662361006298e-90	2.20933138581527e-88	196.005837591669
C1QTNF6	2.78444067597765	11.0981890837989	27.4972629794709	1.50628788717211e-90	2.20933138581527e-88	195.999415712966
SYT15	-1.46057377932961	10.3290577835196	-27.489972053707	1.60720549955731e-90	2.33200333451897e-88	195.934715592154
SLC16A6	-2.56918116759776	11.1045417430168	-27.4800063426862	1.75618925563168e-90	2.52106572505253e-88	195.84626930451
CBX3	1.19402504469275	13.8629001592179	27.4717261564881	1.89044227478977e-90	2.68522400589612e-88	195.772773405589
C18orf25	-1.66269550279331	12.4615364916201	-27.4546072429673	2.20148909655164e-90	3.0944681113404e-88	195.620798772804
