id	category	gene_num.min	gene_num.max	gene_num.rich	Pvalue	up.regulated	down.regulated	rich.factor
GO:0021953	BP	0	2074	38	0.001750459	0	0	0.01832208293153327
GO:0010882	BP	0	2074	11	0.001803319	1	0	0.005303760848601736
GO:0090231	BP	0	2074	10	0.001896772	7	0	0.0048216007714561235
GO:0098742	BP	0	2074	53	0.00192143	0	0	0.025554484088717456
GO:0015718	BP	0	2074	38	0.001933228	1	0	0.01832208293153327
GO:0072330	BP	0	2074	45	0.001933228	2	0	0.021697203471552556
GO:0098773	BP	0	2074	30	0.002007737	2	0	0.01446480231436837
GO:0070830	BP	0	2074	20	0.002087559	1	0	0.009643201542912247
GO:0015711	BP	0	2074	77	0.002145571	6	0	0.03712632594021215
GO:1902751	BP	0	2074	12	0.002212438	5	0	0.0057859209257473485
GO:1904062	BP	0	2074	57	0.002285962	5	0	0.027483124397299902
GO:0042472	BP	0	2074	26	0.002330513	2	0	0.01253616200578592
GO:0030258	BP	0	2074	40	0.002349571	2	0	0.019286403085824494
GO:0015849	BP	0	2074	64	0.00237477	5	0	0.03085824493731919
GO:0006813	BP	0	2074	47	0.00240863	2	0	0.02266152362584378
GO:0032412	BP	0	2074	44	0.002441972	4	0	0.021215043394406944
GO:0007416	BP	0	2074	42	0.002517296	0	0	0.020250723240115717
GO:1901991	BP	0	2074	40	0.002564629	25	0	0.019286403085824494
GO:0035987	BP	0	2074	16	0.002594581	0	0	0.007714561234329798
GO:0061458	BP	0	2074	57	0.002594581	6	0	0.027483124397299902
GO:0034440	BP	0	2074	27	0.002608898	0	0	0.013018322082931534
GO:1901987	BP	0	2074	77	0.002664697	41	0	0.03712632594021215
GO:0022898	BP	0	2074	45	0.002691569	4	0	0.021697203471552556
GO:0016042	BP	0	2074	61	0.002719664	1	0	0.029411764705882353
GO:1904064	BP	0	2074	31	0.002723618	2	0	0.014946962391513982
GO:0007519	BP	0	2074	36	0.002788346	3	0	0.017357762777242044
GO:0021700	BP	0	2074	61	0.002911765	8	0	0.029411764705882353
GO:1902850	BP	0	2074	35	0.00291767	25	0	0.016875602700096432
GO:0006939	BP	0	2074	26	0.002935919	2	0	0.01253616200578592
GO:0007051	BP	0	2074	40	0.003016927	25	0	0.019286403085824494
GO:0006270	BP	0	2074	13	0.00308174	9	0	0.00626808100289296
GO:0055001	BP	0	2074	41	0.00308174	5	0	0.019768563162970106
GO:0009437	BP	0	2074	7	0.00308174	1	0	0.0033751205400192863
GO:0042045	BP	0	2074	7	0.00308174	0	0	0.0033751205400192863
GO:0050678	BP	0	2074	70	0.00310389	8	0	0.033751205400192864
GO:0048608	BP	0	2074	56	0.00310389	6	0	0.02700096432015429
GO:0000075	BP	0	2074	39	0.003110946	27	0	0.018804243008678882
GO:0048588	BP	0	2074	46	0.003123254	1	0	0.022179363548698167
GO:0046660	BP	0	2074	28	0.003176735	1	0	0.013500482160077145
GO:0010971	BP	0	2074	11	0.003197638	5	0	0.005303760848601736
GO:0042634	BP	0	2074	11	0.003197638	0	0	0.005303760848601736
GO:0034762	BP	0	2074	81	0.003287159	6	0	0.0390549662487946
GO:0046942	BP	0	2074	63	0.003346042	5	0	0.03037608486017358
GO:0048638	BP	0	2074	59	0.003482261	4	0	0.02844744455159113
GO:0031589	BP	0	2074	63	0.003584039	4	0	0.03037608486017358
GO:0035357	BP	0	2074	10	0.003584039	0	0	0.0048216007714561235
GO:0001763	BP	0	2074	41	0.003584039	1	0	0.019768563162970106
GO:0042573	BP	0	2074	12	0.003604396	0	0	0.0057859209257473485
GO:0006577	BP	0	2074	8	0.003692906	1	0	0.003857280617164899
GO:0035265	BP	0	2074	37	0.003729225	3	0	0.017839922854387655
GO:0007162	BP	0	2074	56	0.003729225	2	0	0.02700096432015429
GO:0010927	BP	0	2074	30	0.003729225	4	0	0.01446480231436837
