,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
FSHR,196.574541078254,-1.0033355157265,0.138338098462024,-7.25277799016391,4.08309062036441e-13,5.05479126891719e-11,down
SERPINB2,6217.44736299022,-1.52751037923749,0.214292098234219,-7.1281694090649,1.01712545514411e-12,1.16314329590802e-10,down
SLPI,20107.9081288745,-1.2337288065314,0.17427227064527,-7.07931790848495,1.44865711742171e-12,1.58281270881818e-10,down
VSIG10L,1964.06463690349,-1.15108507673633,0.163820414108346,-7.02650571970252,2.11769903449821e-12,2.16486596753931e-10,down
GKN2,65.2390262800166,-1.4788860527053,0.210959505583661,-7.01028402874605,2.37834806806393e-12,2.37729102447812e-10,down
TMC5,317.990250940523,-1.66246639972088,0.239067117403466,-6.95397350240847,3.55138342338101e-12,3.35121453951772e-10,down
IL19,169.212712139434,-1.2765923601018,0.184029221991658,-6.93690027206475,4.00796547305968e-12,3.67914871384132e-10,down
TDRD12,1044.46001627172,-1.59367690283655,0.231338041577092,-6.88895303155518,5.62044905952881e-12,4.90388670414317e-10,down
TREX2,479.622888027865,-1.43861218708552,0.208940616379071,-6.88526822604714,5.76787520917068e-12,4.95743363519421e-10,down
OVOL1,3352.48643789418,-1.17008600150016,0.171221931584205,-6.83373905827432,8.27294502213892e-12,6.80701952004528e-10,down
HEPHL1,295.595350514881,-1.56355884116364,0.229827578073494,-6.80318199525928,1.02333234326514e-11,8.21955157144033e-10,down
CLDN17,589.112719474496,-1.53537780804075,0.227338444866058,-6.75370947023658,1.44112189784217e-11,1.12407508031689e-09,down
BNIPL,2854.33118335741,-1.03496242400138,0.155543316346156,-6.65385339796991,2.85517080737601e-11,2.00982876190997e-09,down
MAGEB5,40.8051439193974,-1.126685641749,0.169976407119386,-6.62848251026775,3.39155297907275e-11,2.33498040304121e-09,down
AQP3,19543.49750178,-1.13747026983519,0.171669890891187,-6.62591595957952,3.45101480070429e-11,2.34010018697003e-09,down
TGM1,10376.7187870017,-1.30605036491295,0.197091040322698,-6.62663489306538,3.4342564589945e-11,2.34010018697003e-09,down
ALOX15,476.511740831829,-1.31076194500544,0.197867221048889,-6.6244521859514,3.48538308869932e-11,2.35158796994543e-09,down
TMPRSS11F,1103.25667963166,-1.58496482583127,0.239889606317885,-6.60705918092587,3.92029355063007e-11,2.61883372139615e-09,down
THRB,2130.04257800323,-1.06318955919228,0.162137987421515,-6.55731316331363,5.47858850990155e-11,3.53722839007711e-09,down
CYP2C8,270.655101002738,-1.17446424018029,0.179433649048569,-6.54539572932825,5.93380474885733e-11,3.75919067047328e-09,down
SDR9C7,2331.79926564299,-1.31118115792798,0.200303488666921,-6.54597264707805,5.91093994144778e-11,3.75919067047328e-09,down
DDX53,17.6692349006972,-1.09321408994394,0.167777309180522,-6.51586376777376,7.22725468615716e-11,4.49422003387119e-09,down
ABHD12B,405.184745788755,-1.79865176616825,0.277360119405022,-6.48489685549104,8.87925084738581e-11,5.34895584529572e-09,down
OCLN,5485.70573235965,-1.09879811884504,0.169825868643911,-6.47014572997115,9.79084449030043e-11,5.82016103753806e-09,down
TTC9,637.426799225248,-1.24006975406212,0.192300890290851,-6.44859081092418,1.12894910945358e-10,6.56639624265802e-09,down
PLA2G4D,710.21568977111,-1.24822227468605,0.194862494949049,-6.40565684542026,1.49723375454847e-10,8.34862491069302e-09,down
KLK10,2100.07384671465,-1.34435114050295,0.211136579983481,-6.36721093335948,1.92496368314447e-10,1.01864548785692e-08,down
DCAF4L1,26.4579933501123,-1.00061788560741,0.157925515903703,-6.33601150442052,2.35789190093159e-10,1.21905721498739e-08,down
KLK12,2264.02175667189,-1.2145041036871,0.191754062218709,-6.33365514990695,2.39420315474714e-10,1.2284173905003e-08,down
LCE3E,9960.82035934367,-1.35645309775916,0.217212361828881,-6.24482458704524,4.24275989247765e-10,2.0260914522492e-08,down
LYPD8,48.9421006921139,-1.51179791832387,0.243022091404503,-6.22082506815204,4.94547307808663e-10,2.30914234310384e-08,down
USP2,934.640585267537,-1.2326658075608,0.198757496604759,-6.2018581870752,5.58003492856192e-10,2.56112215394607e-08,down
OVCH1,113.043565950823,-1.00799341315123,0.162667448004569,-6.19665105413662,5.76771754836496e-10,2.62052459924703e-08,down
MUC15,1448.84698315024,-1.28030810154577,0.207766031299349,-6.16225902539914,7.17144152635199e-10,3.16821348067142e-08,down
LGALS4,98.1699182498438,-1.00828098690747,0.164059296982271,-6.14583266815066,7.95451077623853e-10,3.4513880519152e-08,down
CTRB2,39.8803493831011,-1.17613854147941,0.191743076298545,-6.1339296530747,8.57344413844653e-10,3.69616789789768e-08,down
KPRP,2251.95554040185,-1.07898066358273,0.176960668914578,-6.09729082852624,1.07881143375879e-09,4.47922507296648e-08,down
PGC,579.366662205981,-1.18599841395081,0.195491897046984,-6.06673950105342,1.30533016793541e-09,5.2579478466031e-08,down
PAPPA2,728.578073621572,-1.00477829035361,0.16577091278369,-6.06124605023271,1.35071018681901e-09,5.40845200621239e-08,down
MRGPRX1,18.0948259712744,-1.06499687496841,0.175846876725588,-6.0563877778185,1.39212179812574e-09,5.55777856328661e-08,down
CAPN14,1662.49454037338,-1.14770802678233,0.189696378735227,-6.0502368808224,1.44633007011337e-09,5.74022881356169e-08,down
KCNA7,3483.461912705,-1.38222933399778,0.230403455049735,-5.99916929934669,1.98329496693538e-09,7.64645208109313e-08,down
CHGA,172.037418763298,-1.39644549844751,0.233294701336485,-5.98575745804612,2.15385126489485e-09,8.25683777513953e-08,down
RAET1E,407.37780363343,-1.1409234986994,0.191130354005115,-5.96934748872419,2.38204303942755e-09,9.00372234566817e-08,down
MSLN,988.188278232315,-1.47855763364606,0.247798300155491,-5.96677875803942,2.41983162769725e-09,9.07033555115185e-08,down
DEFB4B,9425.93037838627,-1.72883736315141,0.290047601573944,-5.96052976742392,2.51421496918534e-09,9.34623052181458e-08,down
KLK11,4780.91956199322,-1.05243480027189,0.176604480471791,-5.95927576390112,2.53358249060582e-09,9.36661976116027e-08,down
EHF,5143.73376167855,-1.00210060214064,0.168676121215113,-5.94097489865004,2.83332000852806e-09,1.03893533138798e-07,down
LYNX1,6120.10143077248,-1.20296496876765,0.202686861909249,-5.93509099423655,2.93682572321168e-09,1.07106827862212e-07,down
