,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PECAM1,8105.70886880771,-0.0428844700649474,0.130964818225436,-0.327450307998964,0.743327321481532,0.856572064566336
MFSD5,2443.98698117652,-0.339958211189884,0.092633164480589,-3.669940599526,0.000242606837896061,0.00217958500037912
EDC3,1148.25142573753,0.297995726873331,0.0715021146052276,4.16764914602322,3.07757144365104e-05,0.000389941305733588
CHI3L2,1099.25242173442,-0.327261100713281,0.281511524972658,-1.16251404181433,0.245026724282515,0.437332692757254
TMSB10,46582.326838145,0.0178032264873664,0.0810925307413109,0.219542124590482,0.826227769463261,0.907391350300093
ZNF605,2421.29883724415,0.492692046719056,0.117499468123867,4.19314278256703,2.75116156497786e-05,0.000353563563407726
PPP1R12B,4848.22444800265,0.15530315367237,0.0822518857709534,1.88814094919164,0.0590070307595746,0.164266332509975
LSM4,11555.6665190746,0.185428282101054,0.0966753317073954,1.91805167694986,0.0551044588955689,0.156378458114996
MC2R,15.961954908664,-0.12163112844972,0.12414830080997,-0.979724471911194,0.327222142911774,0.524677107104786
ZNF347,2878.97428020484,0.236801360865308,0.140473267083771,1.68573968400758,0.0918459497517778,0.225501215713347
MEPE,100.451392059083,-0.129218855322904,0.105054095458673,-1.23002206395406,0.218688842656169,0.405355390494828
FAT3,85285.2522079933,0.0917582410263316,0.0473967416854921,1.93596094928226,0.0528724839283123,0.151574526902198
ADRA2C,6411.60716648263,0.336673333308638,0.0995221381323844,3.38289891703085,0.000717250265625196,0.0053384308242396
B4GALT7,4777.63856387742,0.0496872324961164,0.0899498846663962,0.552387951139628,0.580682583887018,0.746331154107194
VSIG1,303.210612673704,-0.633186000570339,0.190735362928961,-3.31970952238243,0.000901111564943605,0.00642345454693555
FOS,16560.5976835867,-0.279871088436971,0.148174799178912,-1.88879006408534,0.0589199646734893,0.164154647860788
RBPMS,1893.81955902756,0.360254729831492,0.151183151470843,2.38290263383596,0.0171767367461504,0.0655124040849503
NNT,5523.0314009261,0.298271352912466,0.0999414586329159,2.98446067320284,0.00284078716434925,0.0162018520692007
OR56A4,421.490110309295,-0.0760299070475474,0.0759993776065252,-1.00040170646108,0.317116144502404,0.515624202182846
AGPS,8426.02562593925,-0.0658979917653445,0.0932724132184506,-0.706511062504695,0.479870375632563,0.664481359547029
LSM14A,19744.0226055134,0.120749927606846,0.055405743471559,2.17937563943762,0.0293037742990718,0.0977323604527125
SLC16A10,737.077425431865,0.198325204885489,0.116423712465049,1.70347775969631,0.0884786966031881,0.219311449662641
ZNF519,2199.03564617226,0.711395978280609,0.124990482734271,5.69160117409125,1.25853546364413e-08,4.28855493596309e-07
ZNF680,577.64656946553,-0.012880687322353,0.135041288044214,-0.0953833268987751,0.924010358900257,0.960378632288382
PLEKHA3,2174.73085150462,0.118353867739651,0.105615360064881,1.12061226385011,0.26245294246633,0.456207652407659
C11orf71,5681.76510601993,-0.158012177000763,0.0993894499504083,-1.58982846851055,0.111873474952673,0.259180015112664
