SYMBOL,log2FoldChange,pvalue,padj
ETV7,1.139821976,8.25E-33,4.22E-32
ASTN2,1.382090931,1.07E-32,5.45E-32
HSPB7,-1.877640475,1.29E-32,6.57E-32
SLC17A9,1.283378702,1.32E-32,6.73E-32
ATP2B3,-1.199815519,1.37E-32,6.96E-32
PEG3,-1.362224971,1.38E-32,7.02E-32
SYT1,1.537585671,1.46E-32,7.42E-32
HTR7,1.32671538,1.57E-32,8.00E-32
SCNN1A,-1.512474474,1.66E-32,8.45E-32
TLX1,1.871009353,1.95E-32,9.88E-32
KRT17,1.227880303,2.26E-32,1.14E-31
BCO2,-1.230080305,2.27E-32,1.15E-31
HTR1D,1.54031461,2.34E-32,1.18E-31
NFASC,-1.075034216,2.36E-32,1.19E-31
CLPS,-2.083825211,2.78E-32,1.40E-31
ICAM5,1.033589381,3.06E-32,1.54E-31
DNAH11,1.043515585,3.25E-32,1.63E-31
IL13RA2,1.787210159,3.26E-32,1.64E-31
CTTN,1.036783966,3.29E-32,1.65E-31
RYR2,-1.58317377,3.32E-32,1.67E-31
MANSC1,-1.104070305,3.44E-32,1.73E-31
MUC20,-1.580636128,3.51E-32,1.76E-31
PCDHB10,1.137510549,3.70E-32,1.85E-31
SLC38A5,1.276369456,3.84E-32,1.92E-31
SLCO1B1,1.540324167,4.13E-32,2.07E-31
C2CD4A,1.828083113,4.35E-32,2.17E-31
BPIFB2,-3.270606035,4.47E-32,2.23E-31
ALOX15B,-1.568175028,4.57E-32,2.28E-31
PRICKLE2,-1.030942662,4.89E-32,2.44E-31
CLEC4F,-1.557492031,4.96E-32,2.47E-31
RNF222,-1.457105088,5.16E-32,2.57E-31
ZFP92,1.068084849,5.43E-32,2.70E-31
C3orf70,-1.187140299,5.43E-32,2.70E-31
OTOGL,-1.151031043,5.50E-32,2.74E-31
NUDT11,1.153207412,6.49E-32,3.22E-31
FA2H,-1.546281582,6.69E-32,3.32E-31
KIAA1549,1.263162973,7.37E-32,3.66E-31
CPB1,-2.045287313,8.12E-32,4.03E-31
SEMA3E,-1.835768524,8.52E-32,4.22E-31
CLEC18B,-1.286903535,9.12E-32,4.51E-31
SPOCK3,2.223623476,9.40E-32,4.65E-31
ZNF385D,-1.300898051,9.73E-32,4.81E-31
HBD,-1.599526284,1.11E-31,5.48E-31
IGFL3,2.109203943,1.20E-31,5.93E-31
FOXL2NB,1.5941487,1.21E-31,5.97E-31
EYA2,-1.423728551,1.23E-31,6.08E-31
FBXO39,1.424087801,1.44E-31,7.10E-31
SH3TC2,-1.184382917,1.63E-31,8.00E-31
ACTL8,1.731113289,1.68E-31,8.26E-31
PCDH8,1.878913841,1.68E-31,8.26E-31
ANXA3,-1.079153179,2.02E-31,9.87E-31
MSRB3,-1.214963978,2.06E-31,1.01E-30
C1orf210,-1.029961599,2.14E-31,1.04E-30
FMO5,-1.348948834,2.24E-31,1.09E-30
HLA-F,1.007266383,2.28E-31,1.11E-30
CEACAM19,1.215862205,2.39E-31,1.16E-30
NBEA,-1.200195443,2.39E-31,1.16E-30
LRRN4CL,-1.155169303,2.49E-31,1.21E-30
KANK2,-1.061485888,2.55E-31,1.24E-30
DHRS9,-1.616805418,2.70E-31,1.31E-30
BATF2,1.361489704,2.93E-31,1.42E-30
IGSF6,1.078615509,3.18E-31,1.54E-30
FSHR,-1.274361252,3.27E-31,1.58E-30
NR0B2,-1.788315568,3.31E-31,1.60E-30
FAM218A,-1.254315714,3.54E-31,1.71E-30
STON1-GTF2A1L,-1.776757477,4.07E-31,1.96E-30
CPEB2,-1.141214995,4.91E-31,2.37E-30
SMR3B,-1.827844515,5.72E-31,2.75E-30
S100A7A,2.685588283,6.94E-31,3.33E-30
MSX1,1.253751319,7.88E-31,3.78E-30
PCDHGB1,1.675534172,7.90E-31,3.79E-30
LCE2B,2.609833568,7.93E-31,3.80E-30
HEPHL1,1.825927782,9.58E-31,4.58E-30
PDE1A,-1.081246424,9.92E-31,4.74E-30
LRRC69,1.518980232,1.02E-30,4.88E-30
MMP20,2.002722209,1.05E-30,4.99E-30
PLA2G5,-1.061146559,1.05E-30,5.02E-30
GRAMD1C,-1.142804494,1.06E-30,5.06E-30
GALNT6,1.509560044,1.13E-30,5.39E-30
TMPRSS11F,-1.752108134,1.14E-30,5.41E-30
OR2B6,1.549478506,1.26E-30,5.97E-30
TOB1,-1.18360855,1.39E-30,6.57E-30
ITPKA,1.24357556,1.57E-30,7.46E-30
REEP1,-1.468359032,1.59E-30,7.54E-30
KCNK7,-1.403431456,1.60E-30,7.58E-30
PAX3,2.063197633,1.61E-30,7.63E-30
PCDHB8,-1.309881598,1.73E-30,8.17E-30
PSTPIP2,1.056466855,1.96E-30,9.27E-30
TTLL7,-1.439479918,2.04E-30,9.63E-30
FOXS1,1.14640915,2.13E-30,1.00E-29
ABO,-1.712157139,2.40E-30,1.13E-29
CAPN9,-1.619360969,2.66E-30,1.25E-29
SLC2A12,-1.366883626,2.89E-30,1.36E-29
UNC93A,-1.81002043,2.91E-30,1.36E-29
DPY19L1,1.083061178,3.22E-30,1.51E-29
CHRM2,-1.750269528,3.24E-30,1.52E-29
MAGEB5,-1.434195433,3.32E-30,1.56E-29
CYP11A1,-1.234830118,3.81E-30,1.78E-29
FERMT1,1.037652161,3.98E-30,1.86E-29
EDN3,-1.881625277,4.13E-30,1.93E-29
ABRA,-1.378607124,4.73E-30,2.21E-29
FANCD2P2,1.300342088,4.95E-30,2.31E-29
RGS17,-1.256169374,5.19E-30,2.42E-29
PRR27,-1.70120573,5.27E-30,2.45E-29
OR9A4,1.924236379,5.58E-30,2.60E-29
GRIK3,-1.604467605,6.20E-30,2.88E-29
RNF39,-1.400424117,6.31E-30,2.94E-29
S100B,-1.214298177,6.44E-30,2.99E-29
ALDH1A2,-1.671953329,6.54E-30,3.04E-29
NR0B1,2.366625104,6.92E-30,3.21E-29
ANKRD34B,1.607792432,6.98E-30,3.24E-29
CDA,-1.493507097,7.98E-30,3.70E-29
DAPL1,-1.73831199,8.64E-30,4.00E-29
A4GNT,-1.591294542,1.02E-29,4.73E-29
AKAP6,-1.228439995,1.05E-29,4.86E-29
RIMS1,-1.973272752,1.26E-29,5.80E-29
CPXM1,1.209228783,1.35E-29,6.21E-29
SCML4,-1.329039887,1.43E-29,6.58E-29
MOGAT1,-1.505334249,1.49E-29,6.86E-29
GJB1,-1.426411254,1.87E-29,8.57E-29
CA3,-1.427975573,1.97E-29,9.02E-29
QRFPR,1.987242931,2.01E-29,9.21E-29
RHOD,-1.117747493,2.07E-29,9.48E-29
WNT16,1.357057721,2.17E-29,9.92E-29
HPDL,1.176732019,2.19E-29,1.00E-28
SALL1,1.713991047,2.26E-29,1.04E-28
EPS8L3,-1.901715098,2.34E-29,1.07E-28
GLIS3,1.257971644,2.63E-29,1.20E-28
PITPNM3,-1.151028682,2.66E-29,1.22E-28
CBLN1,-1.548203589,3.11E-29,1.41E-28
PLIN1,-1.232197,4.37E-29,1.98E-28
CX3CR1,-1.329454179,4.82E-29,2.18E-28
KRT20,-2.327982371,5.39E-29,2.44E-28
INMT,-1.17527424,5.49E-29,2.48E-28
MMP9,1.143662719,5.66E-29,2.56E-28
LRRTM1,-1.391713324,6.15E-29,2.78E-28
CLEC5A,1.242340162,7.46E-29,3.36E-28
SKP2,1.021325782,7.64E-29,3.44E-28
SEZ6L2,1.32709207,8.62E-29,3.87E-28
LPL,1.495082148,9.10E-29,4.09E-28
PIP,-2.074494535,9.59E-29,4.30E-28
PRR19,1.072752692,1.00E-28,4.50E-28
TMEM116,1.109314708,1.03E-28,4.62E-28
KLRB1,-1.368225726,1.04E-28,4.65E-28
RHD,-1.182011119,1.05E-28,4.72E-28
LRRC38,1.502274244,1.15E-28,5.15E-28
LHX9,1.467655211,1.16E-28,5.17E-28
RBM24,-1.474108041,1.20E-28,5.35E-28
CRAT,-1.140575316,1.27E-28,5.65E-28
COL4A5,1.08809687,1.35E-28,6.02E-28
GPR62,-1.031241117,1.36E-28,6.05E-28
OR10C1,-1.076923812,1.85E-28,8.20E-28
KRT36,-1.273520121,1.96E-28,8.68E-28
GJA3,1.431940689,2.11E-28,9.37E-28
HIF3A,-1.59437137,2.23E-28,9.90E-28
NTS,2.776304203,2.95E-28,1.31E-27
KIT,-1.552619973,3.05E-28,1.35E-27
CTNNA2,-1.281882584,3.10E-28,1.37E-27
FOXG1,1.684260856,3.12E-28,1.38E-27
HMGCLL1,-1.246637777,3.14E-28,1.39E-27
CIT,1.125430269,3.18E-28,1.40E-27
HTRA3,1.038336111,3.35E-28,1.48E-27
ADAM23,1.57155108,4.09E-28,1.80E-27
HOXB5,1.142755236,4.23E-28,1.85E-27
REG3G,-1.703777831,4.56E-28,2.00E-27
ANG,-1.058612079,4.57E-28,2.00E-27
DKK4,-1.809280821,5.18E-28,2.27E-27
HOXA7,1.063132023,5.43E-28,2.38E-27
GFRA1,-1.430134349,5.95E-28,2.60E-27
KCNH1,1.770344844,6.09E-28,2.66E-27
OR11H4,1.838945123,6.18E-28,2.70E-27
GPAT3,-1.136256445,6.36E-28,2.78E-27
KCNQ5,1.183209083,6.61E-28,2.88E-27
G0S2,1.361805692,7.15E-28,3.11E-27
CHODL,1.366905436,7.26E-28,3.16E-27
AZGP1,-2.229617532,7.37E-28,3.21E-27
GHRHR,-1.157162886,8.03E-28,3.49E-27
TNFRSF11B,1.463584736,8.21E-28,3.57E-27
KIF1A,1.967952937,1.03E-27,4.46E-27
LOXL4,1.646361347,1.05E-27,4.55E-27
FAIM2,-1.087024249,1.11E-27,4.81E-27
NDNF,-1.171909152,1.15E-27,4.95E-27
LRFN5,-1.304721417,1.18E-27,5.10E-27
LYPD8,1.923408725,1.19E-27,5.12E-27
MAGEC2,2.320836562,1.30E-27,5.62E-27
SLC29A4,1.031111782,1.61E-27,6.91E-27
DES,-1.837354858,1.64E-27,7.05E-27
RNF150,-1.366062457,1.66E-27,7.14E-27
ACTBL2,-1.224637615,1.66E-27,7.15E-27
SESN3,1.1723564,1.76E-27,7.54E-27
BPIFB1,-3.034924534,2.43E-27,1.04E-26
GPC3,1.617359175,2.50E-27,1.07E-26
GLDC,1.490561181,2.51E-27,1.07E-26
PRKAR2B,-1.167286787,2.62E-27,1.12E-26
THSD1,1.165004838,2.66E-27,1.14E-26
KCTD8,-1.542181306,3.13E-27,1.34E-26
RHOV,-1.078630485,3.18E-27,1.36E-26
MAOA,-1.001989244,3.22E-27,1.37E-26
TRIM50,-1.466349529,3.26E-27,1.39E-26
CPED1,-1.335916659,3.37E-27,1.43E-26
TAGLN3,1.521472991,3.87E-27,1.65E-26
IGSF9B,-1.502754455,4.26E-27,1.81E-26
CTSE,-1.83926308,4.57E-27,1.95E-26
IRX6,1.739021166,4.68E-27,1.99E-26
SLC25A41,-1.006756464,4.87E-27,2.07E-26
NXF5,1.515784694,4.93E-27,2.09E-26
TGM5,-1.353294937,5.03E-27,2.14E-26
NLRP10,1.956362367,5.54E-27,2.35E-26
DZIP1L,1.111289678,6.43E-27,2.72E-26
MX2,1.008917929,6.73E-27,2.84E-26
SCG2,1.550259538,6.93E-27,2.93E-26
MAGEA8,1.140731394,7.28E-27,3.07E-26
TPCN2,1.075645531,8.98E-27,3.78E-26
ZIC1,1.708648565,1.04E-26,4.37E-26
TMEM47,-1.277759192,1.18E-26,4.95E-26
FLRT2,1.212527758,1.27E-26,5.34E-26
HAS2,1.404691635,1.40E-26,5.86E-26
TYMSOS,1.090066395,1.42E-26,5.94E-26
HMHB1,-1.908028886,1.55E-26,6.48E-26
NLGN1,-1.403126019,1.65E-26,6.88E-26
HOXB6,1.152451708,2.17E-26,9.05E-26
IVL,-1.377679188,2.18E-26,9.06E-26
PRDM12,1.099384507,2.38E-26,9.88E-26
TAAR1,-1.507300067,2.40E-26,9.99E-26
UTRN,-1.031907454,2.51E-26,1.05E-25
CNGB1,1.281135151,3.22E-26,1.34E-25
OR2L2,1.271719661,3.29E-26,1.37E-25
CCDC87,1.058883511,3.51E-26,1.45E-25
ADAMTSL3,-1.487869158,3.77E-26,1.56E-25
OVOL1,-1.246503766,3.79E-26,1.57E-25
NUP210,1.07243976,3.90E-26,1.61E-25
PPP1R9A,-1.625860217,3.96E-26,1.64E-25
NR4A3,-1.566548676,4.17E-26,1.72E-25
FOXC2,1.621217908,4.38E-26,1.81E-25
MFSD13A,1.017086736,4.85E-26,2.00E-25
TFAP4,1.018379959,6.37E-26,2.62E-25
PLA2G1B,-1.909906757,8.56E-26,3.51E-25
HTRA4,1.188554891,9.68E-26,3.96E-25
KRT34,1.513870448,1.09E-25,4.44E-25
ZFP28,-1.080247128,1.10E-25,4.49E-25
KCNK15,-1.099994674,1.13E-25,4.61E-25
EMID1,1.353870483,1.19E-25,4.85E-25
C5orf46,1.795810111,1.31E-25,5.32E-25
CYSLTR1,-1.321272903,1.36E-25,5.53E-25
ELOVL4,-1.257599445,1.44E-25,5.85E-25
RNASE2,1.392128677,1.47E-25,5.98E-25
SLC8A1,-1.411472805,2.04E-25,8.25E-25
ALOXE3,1.360951391,2.14E-25,8.65E-25
MYL2,-1.32094412,2.59E-25,1.05E-24
PLPPR1,1.671550366,2.69E-25,1.08E-24
RASEF,-1.111331101,2.77E-25,1.12E-24
PTGS1,-1.090584504,3.05E-25,1.23E-24
PDCD1LG2,1.300036976,3.32E-25,1.34E-24
OR6C70,1.916839111,4.13E-25,1.66E-24
TMEM178A,-1.169810058,4.28E-25,1.72E-24
GCNT4,-1.039991407,4.41E-25,1.77E-24
PTGIS,-1.621917827,4.70E-25,1.89E-24
OBP2A,1.341660115,5.25E-25,2.10E-24
TNFRSF9,1.055869342,5.28E-25,2.11E-24
TDRP,1.047637909,5.58E-25,2.23E-24
HES7,1.178385517,7.19E-25,2.87E-24
SUSD4,-1.199319194,7.54E-25,3.00E-24
ASCL4,1.743458593,8.97E-25,3.57E-24
NECAB1,-1.377318616,9.14E-25,3.64E-24
RETNLB,1.542608182,9.19E-25,3.65E-24
LCE1C,-1.433376714,9.93E-25,3.94E-24
CENPV,1.118569133,1.00E-24,3.97E-24
CACNG7,-1.365732078,1.03E-24,4.09E-24
PLXNA4,-1.300749749,1.05E-24,4.14E-24
GRXCR1,1.187118882,1.18E-24,4.68E-24
COL2A1,1.952625726,1.20E-24,4.74E-24
OAS2,1.027193592,1.29E-24,5.09E-24
POU4F1,1.494291577,1.69E-24,6.65E-24
RNF151,-1.007710205,2.14E-24,8.38E-24
KCNE2,-1.64084855,2.27E-24,8.89E-24
TPPP,-1.109495249,2.70E-24,1.06E-23
PSORS1C1,1.244119707,3.30E-24,1.29E-23
MRGPRF,-1.053764742,3.39E-24,1.32E-23
DACT3,-1.004483937,3.53E-24,1.38E-23
HPGDS,-1.003824379,3.63E-24,1.41E-23
CALN1,1.834118317,3.64E-24,1.42E-23
LDOC1,-1.179306314,3.72E-24,1.45E-23
KLF15,-1.289871484,4.90E-24,1.90E-23
HSD11B1,1.242475795,5.58E-24,2.16E-23
IGFBPL1,1.209000274,5.65E-24,2.19E-23
CEACAM8,-1.096000385,5.85E-24,2.26E-23
ADH7,-1.68471781,5.96E-24,2.30E-23
FXYD3,1.02825344,6.86E-24,2.65E-23
LHCGR,-1.388564918,7.03E-24,2.71E-23
IGFL4,1.303935511,7.14E-24,2.75E-23
SNX31,-1.581083154,7.17E-24,2.77E-23
DPYSL5,1.679144507,7.23E-24,2.79E-23
SULT1E1,2.023370963,9.49E-24,3.64E-23
ASPHD1,1.095867037,1.02E-23,3.92E-23
SLC39A14,1.229894724,1.11E-23,4.25E-23
LY6G6C,-1.461877454,1.13E-23,4.32E-23
MT1HL1,-1.781145917,1.14E-23,4.37E-23
IL37,-1.236795628,1.21E-23,4.63E-23
FRMPD2,-1.716989401,1.34E-23,5.13E-23
SPANXB1,1.835237336,1.34E-23,5.13E-23
TMEM151B,1.659026899,1.43E-23,5.45E-23
GPR156,1.113107877,1.43E-23,5.46E-23
C10orf67,1.257690939,1.57E-23,5.97E-23
PROM1,-1.653240191,2.01E-23,7.62E-23
CAP2,-1.043425018,2.08E-23,7.89E-23
SMIM22,-1.5731269,2.14E-23,8.12E-23
CUX2,-1.190445171,2.40E-23,9.10E-23
CPO,-1.100212443,2.71E-23,1.03E-22
TARM1,-1.292783576,2.77E-23,1.05E-22
RIPPLY3,1.360214215,3.24E-23,1.22E-22
BEAN1,-1.159902976,3.69E-23,1.39E-22
SLITRK2,-1.271143217,4.12E-23,1.55E-22
OCSTAMP,1.222023521,4.16E-23,1.57E-22
KLHL30,-1.111391823,4.22E-23,1.59E-22
RASL11A,-1.040725183,4.85E-23,1.82E-22
CLDN6,1.106445639,4.90E-23,1.84E-22
ACTA1,-1.386368414,5.98E-23,2.24E-22
RASGEF1A,1.182407669,6.97E-23,2.61E-22
DNAAF3,1.223428353,7.39E-23,2.77E-22
CSMD3,1.588927963,8.74E-23,3.26E-22
RXRG,-1.357138679,9.09E-23,3.39E-22
CELF2,-1.057965675,1.13E-22,4.19E-22
RERG,-1.066541963,1.20E-22,4.47E-22
SPRR2G,2.028601887,1.51E-22,5.60E-22
TMEM169,1.014919774,1.59E-22,5.92E-22
GAS2,-1.038414687,1.83E-22,6.79E-22
TGM4,1.25560871,1.85E-22,6.86E-22
GALNTL6,-1.042140735,2.35E-22,8.67E-22
NPTX2,1.51889908,2.61E-22,9.62E-22
ALDOB,-1.203181403,2.69E-22,9.90E-22
AGR2,-1.861570768,2.97E-22,1.09E-21
DMRT3,1.497924822,3.22E-22,1.18E-21
LGSN,1.421160992,3.40E-22,1.25E-21
TMSB15B,1.013111972,4.08E-22,1.49E-21
LRRC17,1.389731455,4.25E-22,1.55E-21
HOXB9,1.284484313,4.52E-22,1.65E-21
FABP4,2.098437024,5.75E-22,2.09E-21
PLIN5,-1.162664043,5.96E-22,2.16E-21
SLC5A1,-1.312722938,6.24E-22,2.26E-21
CPA2,-1.83094585,7.94E-22,2.87E-21
CNTNAP5,1.195433861,8.02E-22,2.90E-21
MAPK4,-1.638908747,9.17E-22,3.31E-21
SHE,-1.002097734,9.39E-22,3.39E-21
SAMD9,-1.038430651,9.60E-22,3.46E-21
CAPSL,1.405260663,1.14E-21,4.10E-21
CHST9,-1.823357361,1.16E-21,4.16E-21
FAM167A,1.178761978,1.16E-21,4.17E-21
AP3B2,1.112695831,1.43E-21,5.12E-21
CLDN1,1.040382587,1.48E-21,5.31E-21
SMOC1,1.433047567,1.51E-21,5.39E-21
CBR3,-1.007866803,1.59E-21,5.67E-21
SORBS1,-1.205240373,1.72E-21,6.15E-21
KRT2,-1.639692352,1.80E-21,6.43E-21
OTOP3,-1.603397122,1.86E-21,6.63E-21
MKX,-1.233489563,1.98E-21,7.06E-21
POF1B,-1.448065888,2.05E-21,7.30E-21
IFNK,1.46168976,2.21E-21,7.89E-21
CHRNB2,-1.275505259,2.27E-21,8.09E-21
MGAT5B,1.160335283,2.54E-21,9.03E-21
MLIP,-1.081825017,3.01E-21,1.07E-20
NPSR1,1.227812969,3.91E-21,1.38E-20
KYNU,1.180369128,3.97E-21,1.40E-20
MFSD4A,-1.48157882,4.60E-21,1.62E-20
ALX4,1.143171224,5.02E-21,1.77E-20
CFAP47,1.284625466,5.48E-21,1.93E-20
LCE6A,1.489144079,5.72E-21,2.01E-20
ACCSL,1.098490377,5.94E-21,2.08E-20
TMPRSS11D,-1.344486317,5.99E-21,2.10E-20
IP6K3,-1.366726345,7.20E-21,2.52E-20
CMPK2,1.177412004,7.70E-21,2.69E-20
PDCL2,-1.257793001,8.05E-21,2.81E-20
GREB1,1.18213983,8.33E-21,2.91E-20
PTCH2,-1.108642952,9.56E-21,3.33E-20
ITGB6,1.091135978,1.02E-20,3.55E-20
SOD3,-1.029044666,1.14E-20,3.96E-20
ITGA9,-1.279784446,1.30E-20,4.49E-20
SULT1C2,-1.40645467,1.31E-20,4.53E-20
USP2,-1.135729036,1.34E-20,4.65E-20
UBE2QL1,1.357789877,1.46E-20,5.03E-20
TM4SF5,-1.427053671,1.47E-20,5.08E-20
ALX3,1.461116262,1.60E-20,5.51E-20
AGMO,1.328463994,1.69E-20,5.82E-20
GUCY2D,1.021275013,1.74E-20,5.99E-20
LIM2,1.401623836,1.83E-20,6.30E-20
SLCO4A1,-1.070530751,2.28E-20,7.82E-20
MAOB,-1.269813203,2.33E-20,7.97E-20
NLGN4X,1.100232437,2.94E-20,1.01E-19
C2CD4B,-1.20214302,3.03E-20,1.03E-19
WNT10B,1.282019372,3.58E-20,1.22E-19
SYT5,1.464474243,3.99E-20,1.36E-19
CSN3,-1.42533784,4.34E-20,1.47E-19
PRRT1,-1.074192932,4.46E-20,1.51E-19
ADAMTS3,1.194937935,4.62E-20,1.57E-19
GNRHR,-1.221334933,4.93E-20,1.67E-19
MYOM3,1.091800231,5.35E-20,1.81E-19
ADCYAP1,-1.581417842,5.73E-20,1.93E-19
NAA11,1.063771253,5.89E-20,1.99E-19
DMD,-1.216051999,6.41E-20,2.16E-19
PLA2G4E,1.620836083,6.85E-20,2.31E-19
OR7C1,1.0445185,7.54E-20,2.53E-19
TMC5,-1.57265201,7.83E-20,2.63E-19
CHGA,-1.745373642,7.89E-20,2.65E-19
RBP4,1.545836975,8.86E-20,2.96E-19
TMEM229B,1.045044358,1.06E-19,3.54E-19
B4GALNT2,1.456444914,1.09E-19,3.63E-19
DPP4,1.111071213,1.09E-19,3.64E-19
LIPM,-1.031281903,1.12E-19,3.74E-19
FMO1,1.034856356,1.23E-19,4.08E-19
PHGR1,-1.540887267,1.29E-19,4.28E-19
RIBC2,1.147177647,1.85E-19,6.12E-19
TNNI3,1.434358924,2.39E-19,7.93E-19
PAQR5,-1.07084813,2.45E-19,8.10E-19
WFDC5,1.217653808,2.96E-19,9.77E-19
SDK2,1.088456761,2.99E-19,9.86E-19
CDH18,1.305616906,3.14E-19,1.03E-18
CILP,-1.432795665,3.41E-19,1.13E-18
ROBO2,-1.042035227,3.72E-19,1.23E-18
DMBT1,-1.693003554,4.15E-19,1.36E-18
SLC39A2,-1.195890937,4.39E-19,1.44E-18
NEU2,1.53404035,5.15E-19,1.68E-18
B3GALT5,-1.57727038,5.29E-19,1.73E-18
SLCO1B3,1.360469416,5.70E-19,1.86E-18
ZDHHC15,-1.177306577,7.16E-19,2.33E-18
RHBDL3,1.183055294,8.06E-19,2.62E-18
PRMT8,1.144816437,9.87E-19,3.20E-18
OR52H1,-1.4603806,1.01E-18,3.26E-18
SLC35G3,1.160714869,1.48E-18,4.75E-18
ARNT2,1.157096456,1.88E-18,6.04E-18
NKX2-2,1.723278707,2.09E-18,6.70E-18
ADD2,1.068389807,2.13E-18,6.83E-18
SFTPB,1.067334693,2.52E-18,8.04E-18
UGT2B15,-1.629468923,2.64E-18,8.43E-18
LY6D,-1.09835395,2.79E-18,8.89E-18
WNT8B,1.030412447,2.99E-18,9.52E-18
XCR1,-1.057382741,3.26E-18,1.04E-17
LY6K,1.087091088,4.28E-18,1.36E-17
S100G,-1.003341884,4.52E-18,1.43E-17
METTL24,-1.368284089,4.81E-18,1.52E-17
MYBPC2,-1.069503392,6.18E-18,1.95E-17
GLYATL2,-1.532626235,6.53E-18,2.05E-17
CES5A,1.297664975,7.35E-18,2.30E-17
XIRP1,1.064440686,7.93E-18,2.48E-17
IHH,-1.073979097,8.14E-18,2.55E-17
SOSTDC1,1.525855348,8.18E-18,2.56E-17
AKR1C4,-1.013042004,8.64E-18,2.70E-17
PYDC2,1.52820665,8.65E-18,2.70E-17
C5AR1,1.015486433,8.82E-18,2.75E-17
KLK9,1.151691922,9.59E-18,2.99E-17
CLDN22,-1.813011583,1.03E-17,3.23E-17
PCDH19,1.267275834,1.05E-17,3.28E-17
SPRR1A,-1.139452606,1.14E-17,3.55E-17
DMRTA2,1.400547894,1.38E-17,4.29E-17
LHFPL1,1.271463123,1.45E-17,4.49E-17
AFF2,1.178107949,1.50E-17,4.65E-17
NMRK2,-1.201300317,1.65E-17,5.11E-17
PPARG,-1.006041016,1.81E-17,5.59E-17
OLFM1,1.247019748,1.93E-17,5.97E-17
KRT80,-1.021542694,1.96E-17,6.05E-17
KRT24,-1.724046699,2.08E-17,6.41E-17
NT5E,1.02430592,2.16E-17,6.66E-17
DLG2,-1.032223621,2.56E-17,7.86E-17
TAS2R14,-1.086724446,3.47E-17,1.06E-16
CDKN2B,-1.068203934,3.56E-17,1.09E-16
DUOX2,-1.084987211,4.59E-17,1.40E-16
ZCCHC13,-1.034955102,4.85E-17,1.48E-16
IFNL3,1.267247484,5.75E-17,1.74E-16
CDKN2A,1.509293388,5.90E-17,1.79E-16
FGFBP1,-1.005083562,6.31E-17,1.91E-16
KRT8,1.016871188,6.52E-17,1.97E-16
CR2,-1.585210797,6.85E-17,2.07E-16
AKR1C3,1.209523789,8.06E-17,2.44E-16
ESRRG,-1.013660173,9.57E-17,2.88E-16
ACER1,-1.086117611,1.16E-16,3.47E-16
PAX7,1.25608893,1.26E-16,3.79E-16
C1orf105,1.163605792,1.38E-16,4.14E-16
SYNE3,-1.048760944,1.45E-16,4.34E-16
RGS13,-1.291228839,1.64E-16,4.89E-16
PPBP,1.272093947,1.67E-16,4.98E-16
MEGF10,1.134991884,1.99E-16,5.94E-16
NOTUM,1.302545733,2.09E-16,6.21E-16
BEX1,1.648977323,2.12E-16,6.31E-16
TNMD,-1.038383611,2.66E-16,7.89E-16
SOX1,1.107470517,2.79E-16,8.28E-16
KRTAP29-1,-1.067853873,3.29E-16,9.71E-16
CYP4F11,1.495085524,3.33E-16,9.83E-16
PODN,-1.037801585,3.62E-16,1.07E-15
PPARGC1A,-1.343188698,3.67E-16,1.08E-15
MMP16,1.157482415,4.25E-16,1.25E-15
AQP5,-1.241536818,4.28E-16,1.26E-15
CST6,-1.257846424,4.32E-16,1.27E-15
ETNPPL,-1.012908807,4.53E-16,1.33E-15
ZIC4,1.1758125,5.19E-16,1.52E-15
IFNG,1.194041097,5.28E-16,1.55E-15
TFPI2,1.236627552,5.40E-16,1.58E-15
MEOX2,-1.124469153,7.51E-16,2.19E-15
CAPZA3,-1.02248739,8.17E-16,2.38E-15
SPTLC3,-1.084198753,8.91E-16,2.59E-15
SEMA3D,1.021860382,9.66E-16,2.80E-15
CLDN18,-1.5641892,1.01E-15,2.93E-15
IL36G,1.363324406,1.21E-15,3.48E-15
CLDN11,-1.095211042,1.21E-15,3.49E-15
KRT40,-1.026708513,1.28E-15,3.69E-15
KRTAP5-9,1.037953474,1.33E-15,3.83E-15
RPE65,1.376280306,1.69E-15,4.85E-15
C4BPB,-1.062387638,2.48E-15,7.06E-15
SOX10,-1.268367149,2.57E-15,7.31E-15
LGI3,-1.087985558,2.91E-15,8.25E-15
TBX18,1.007563218,3.06E-15,8.67E-15
GAST,1.208200188,4.05E-15,1.14E-14
MAGEB6,1.065438665,4.17E-15,1.17E-14
LCE2D,1.40085405,6.54E-15,1.83E-14
AARD,-1.186305995,6.73E-15,1.88E-14
MNX1,1.169259484,7.27E-15,2.03E-14
JAKMIP2,1.135832498,7.28E-15,2.03E-14
GPR149,1.113650004,8.14E-15,2.27E-14
SPRR1B,-1.051403824,8.56E-15,2.39E-14
TIMP4,-1.047043556,9.12E-15,2.54E-14
UPK1B,1.741996421,9.28E-15,2.58E-14
GABRG3,1.110175182,1.02E-14,2.82E-14
RNF183,-1.149397927,1.10E-14,3.06E-14
TNFSF18,1.36114593,1.20E-14,3.31E-14
TNFRSF13B,-1.101637928,1.47E-14,4.07E-14
SEMA6D,1.141523092,1.60E-14,4.42E-14
IFNL1,1.004694328,2.73E-14,7.46E-14
F13A1,-1.247940905,3.03E-14,8.24E-14
CBLN2,1.135131391,3.05E-14,8.29E-14
HBA2,-1.081597706,3.25E-14,8.83E-14
