SYMBOL,log2FoldChange,pvalue,padj
WNT11,2.371522021,3.10E-55,2.94E-54
CFTR,-2.079970253,3.19E-55,3.01E-54
SOX17,-1.458158713,3.26E-55,3.08E-54
CTSZ,1.107983501,3.42E-55,3.23E-54
CD1C,-1.625911994,5.23E-55,4.92E-54
BRS3,-1.738068321,5.81E-55,5.46E-54
BPIFB6,-2.380185352,5.86E-55,5.50E-54
FUT3,-1.67343884,8.36E-55,7.82E-54
TESMIN,2.006320481,8.80E-55,8.23E-54
SLC6A4,-2.473005207,8.98E-55,8.38E-54
PLK4,1.195773868,9.75E-55,9.10E-54
RABGGTA,-1.010016286,1.01E-54,9.41E-54
SLC11A1,2.072600622,1.09E-54,1.02E-53
C14orf180,-1.364701083,1.24E-54,1.16E-53
SPHKAP,-1.944366139,1.30E-54,1.20E-53
VEPH1,1.51573786,1.69E-54,1.57E-53
SLC43A2,1.295410036,1.99E-54,1.84E-53
MME,2.240795102,2.63E-54,2.43E-53
INPP1,-1.285241858,3.57E-54,3.28E-53
PLOD3,1.126537691,4.18E-54,3.84E-53
ATP4B,-3.36755168,4.29E-54,3.94E-53
GAREM2,1.490935144,4.47E-54,4.09E-53
CACNB2,-2.007700905,4.64E-54,4.25E-53
SMTN,-1.305390257,4.75E-54,4.34E-53
NTRK3,-1.750545665,4.82E-54,4.41E-53
MXRA5,1.556273972,7.60E-54,6.93E-53
ELF3,-1.663165076,8.08E-54,7.37E-53
SLC7A4,-1.974254957,8.96E-54,8.16E-53
NPEPPS,-1.071319187,9.03E-54,8.21E-53
TOM1,-1.085160278,9.15E-54,8.32E-53
IL32,1.140008612,1.20E-53,1.09E-52
CNKSR3,-1.147476632,1.35E-53,1.23E-52
TFF2,-3.678573865,1.44E-53,1.30E-52
NEB,1.684283633,1.55E-53,1.40E-52
RBP7,-1.690946844,1.75E-53,1.59E-52
HIGD1A,-1.276320578,1.78E-53,1.61E-52
